slot,sync,sync_applied,sync_reason,sync_cost,sync_bandwidth,matured_sync_bandwidth,total_sync_cost,remaining_budget,pending_syncs,move_uav1,move_uav2,p_s,p_j,uav1_x,uav1_y,uav2_x,uav2_y,eve_true_x,eve_true_y,eve_est_x,eve_est_y,eve_error,aoi,sigma,twin_quality,twin_badness,pred_r_sec,true_r_sec,pred_margin,pred_error_radius,pred_loss_ub,cert_base_bound,cert_empirical_upper_bound,cert_required_margin,cert_slack,certified_safe,realized_loss,cert_cover,r_b,r_e,outage,success,served_user_idx,movement_cost,power_cost
0,1,0,full_sync,1.0,1.0,0.0,1.0,79.0,1,down_left,up_right,1.0,1.0,172.92893218813452,252.92893218813452,327.0710678118655,267.0710678118655,417.5914151239263,299.6880047681278,418.0,299.0,0.8001825803669905,1,2.3432082707262705,0.9713267561112692,0.028673243888730805,2.734301177518505,2.734015433028727,2.231020695894061,3.328707913677946,0.04740433018933038,0.04740433018933038,0.0,0.12807152180777082,2.10294917408629,1,0.00028574448977813915,1,2.86962873407065,0.13561330104192335,0,1,0,20.0,2.0
1,1,1,full_sync,1.0,1.0,1.0,2.0,78.0,1,down_left,up_right,1.0,1.0,165.85786437626905,245.85786437626905,334.14213562373095,274.14213562373095,415.3165504826682,299.9701741830452,414.6636944047316,299.96048960663796,0.6529279052996511,0,0.7570917306863597,0.9955025452903303,0.004497454709669654,2.9521425779872987,2.9523888896924664,2.4511873774302124,0.0,0.007570917306863597,0.007570917306863597,0.0,0.08774662647993224,2.3634407509502804,1,0.0,1,3.0628853168890164,0.1104964271965501,0,1,0,20.0,2.0
2,1,1,full_sync,1.0,1.0,1.0,3.0,77.0,1,down_left,up_right,1.0,0.75,158.78679656440357,238.78679656440357,341.2132034355964,281.2132034355964,412.72167770496515,299.9651338357939,414.0785482425227,300.25666693670837,1.3878361591414528,0,0.5498882712842565,0.9946778155567947,0.005322184443205295,3.160753335097885,3.1601611012343533,2.6619648061136636,0.0,0.005498882712842565,0.005498882712842565,0.0,0.08565387153997099,2.5763109345736925,1,0.0005922338635317992,1,3.2778550688830976,0.11769396764874446,0,1,0,20.0,1.75
3,1,1,full_sync,1.0,1.0,1.0,4.0,76.0,1,down_left,stay,1.0,0.75,151.7157287525381,231.7157287525381,341.2132034355964,281.2132034355964,410.2414869142335,300.3033061978843,412.6267899168657,300.3662876832646,2.386134338604323,0,0.4531605330933225,0.9928185556057669,0.007181444394233016,3.3427494267199735,3.3418910702703357,2.843229404980807,0.0,0.0045316053309332254,0.0045316053309332254,0.0,0.08467692138424256,2.7585524835965645,1,0.0008583564496378315,1,3.4476081538121846,0.10571708354184871,0,1,0,10.0,1.75
4,1,1,full_sync,1.0,1.0,1.0,5.0,75.0,1,down_left,stay,1.0,0.75,144.64466094067262,224.64466094067262,341.2132034355964,281.2132034355964,407.45382213398483,300.56684128827646,411.3342411207257,300.28267664969417,3.890809819880666,0,0.39429624358737186,0.989668492930919,0.010331507069080986,3.5180675438783724,3.516913917000463,3.017888537231969,0.0,0.003942962435873719,0.003942962435873719,0.0,0.08408239206023246,2.9338061451717365,1,0.0011536268779095415,1,3.6119510237414305,0.09503710674096752,0,1,0,10.0,1.75
5,1,1,full_sync,1.0,1.0,1.0,6.0,74.0,1,down_left,stay,1.0,0.75,137.57359312880715,217.57359312880715,341.2132034355964,281.2132034355964,405.32058453558705,300.52048244365585,410.1038518419147,300.41238349202706,4.784488635907335,0,0.35367214206215886,0.9878202120009598,0.01217978799904014,3.686083016008177,3.684876646189963,3.1853123158030794,0.0,0.003536721420621589,0.003536721420621589,0.0,0.08367208863482781,3.1016402271682515,1,0.0012063698182140925,1,3.7701551996084888,0.08527855341852587,0,1,0,10.0,1.75
6,1,1,full_sync,1.0,1.0,1.0,7.0,73.0,1,down_left,stay,1.0,0.75,130.50252531694167,210.50252531694167,341.2132034355964,281.2132034355964,402.93021775489626,300.64430222713463,409.2111418982005,300.39714400404495,6.285785176187831,0,0.32347169512060747,0.9845630965730949,0.015436903426905051,3.846175142539322,3.844868952849775,3.3448729058191833,0.0,0.0032347169512060747,0.0032347169512060747,0.0,0.08336706412071813,3.2615058416984652,1,0.0013061896895467662,1,3.9214727031464873,0.07660375029671224,0,1,0,10.0,1.75
7,1,1,full_sync,1.0,1.0,1.0,8.0,72.0,1,down,stay,1.0,0.75,130.50252531694167,200.50252531694167,341.2132034355964,281.2132034355964,401.0087779832084,298.63240345569386,408.18548010386655,300.1363581877385,7.332593890615968,0,0.2998850795846118,0.9823021234277757,0.017697876572224377,4.001538432307748,3.9999424785616347,3.5000432528139953,0.0,0.002998850795846118,0.002998850795846118,0.0,0.08312883930380457,3.4169144135101908,1,0.00159595374611321,1,4.074058572027424,0.0741160934657888,0,1,0,10.0,1.75
8,1,1,full_sync,1.0,1.0,1.0,9.0,71.0,1,down_left,stay,1.0,0.5,123.4314575050762,193.4314575050762,341.2132034355964,281.2132034355964,398.98896408715325,296.6172921380201,407.1256825764963,299.75632751555844,8.721223014936259,0,0.28080440941500373,0.9792540305787334,0.020745969421266594,4.149947490902057,4.147296170325542,3.6478075863173585,0.0,0.002808044094150037,0.002808044094150037,0.0,0.08293612453509153,3.5648714617822668,1,0.0026513205765148484,1,4.243651146966323,0.09635497664078123,0,1,0,10.0,1.5
9,1,1,full_sync,1.0,1.0,1.0,10.0,70.0,1,down,stay,1.0,0.5,123.4314575050762,183.4314575050762,341.2132034355964,281.2132034355964,397.0215442220003,294.9191735819737,406.03654534183937,299.30220777558014,10.024032817834511,0,0.2649564122375995,0.976386100510922,0.023613899489078046,4.29491330945482,4.291840419153659,3.791344119964556,0.0,0.0026495641223759953,0.0026495641223759953,0.0,0.08277605976359975,3.7085680602009563,1,0.003072890301161202,1,4.384873160530427,0.0930327413767682,0,1,0,10.0,1.5
