slot,sync,sync_applied,sync_reason,sync_cost,sync_bandwidth,matured_sync_bandwidth,total_sync_cost,remaining_budget,pending_syncs,move_uav1,move_uav2,p_s,p_j,uav1_x,uav1_y,uav2_x,uav2_y,eve_true_x,eve_true_y,eve_est_x,eve_est_y,eve_error,aoi,sigma,twin_quality,twin_badness,pred_r_sec,true_r_sec,pred_margin,pred_error_radius,pred_loss_ub,cert_base_bound,cert_empirical_upper_bound,cert_required_margin,cert_slack,certified_safe,realized_loss,cert_cover,r_b,r_e,outage,success,served_user_idx,movement_cost,power_cost
0,1,0,periodic_k=4,1.0,1.0,0.0,1.0,79.0,1,down_left,up_right,1.0,1.0,172.92893218813452,252.92893218813452,327.0710678118655,267.0710678118655,417.5914151239263,299.6880047681278,418.0,299.0,0.8001825803669905,1,2.3432082707262705,0.9713267561112692,0.028673243888730805,2.734301177518505,2.734015433028727,2.231020695894061,3.328707913677946,0.04740433018933038,0.04740433018933038,0.0,0.12807152180777082,2.10294917408629,1,0.00028574448977813915,1,2.86962873407065,0.13561330104192335,0,1,0,20.0,2.0
1,0,1,periodic_k=4,0.0,0.0,1.0,1.0,79.0,0,down_left,up_right,1.0,1.0,165.85786437626905,245.85786437626905,334.14213562373095,274.14213562373095,415.3165504826682,299.9701741830452,414.6636944047316,299.96048960663796,0.6529279052996511,0,0.7570917306863597,0.9955025452903303,0.004497454709669654,2.9521425779872987,2.9523888896924664,2.4511873774302124,0.0,0.007570917306863597,0.007570917306863597,0.0,0.08774662647993224,2.3634407509502804,1,0.0,1,3.0628853168890164,0.1104964271965501,0,1,0,20.0,2.0
2,0,0,periodic_k=4,0.0,0.0,0.0,1.0,79.0,0,down_left,up_right,1.0,0.75,158.78679656440357,238.78679656440357,341.2132034355964,281.2132034355964,412.72167770496515,299.9651338357939,411.72717424560443,299.23010456053316,1.2366507858610454,1,1.4834534624474145,0.973783721882023,0.02621627811797701,3.15966864092625,3.1601611012343533,2.6609503473742917,3.494877672948164,0.03980380066216313,0.03980380066216313,0.0,0.12040163377570269,2.540548713598589,1,0.0,1,3.2778550688830976,0.11769396764874446,0,1,0,20.0,1.75
3,0,0,periodic_k=4,0.0,0.0,0.0,1.0,79.0,0,down_left,stay,1.0,0.75,151.7157287525381,231.7157287525381,341.2132034355964,281.2132034355964,409.9657645266931,300.22895322825275,408.7906540864773,298.49971951442836,2.09072565960507,2,2.5967546079351043,0.9499088488341482,0.050091151165851826,3.3411682361719524,3.3417819666112467,2.841751177594814,7.337023791897956,0.07798968883073878,0.07798968883073878,0.0,0.1590830666707221,2.6826681109240917,1,0.0,1,3.4476081538121846,0.10582618720093777,0,1,0,10.0,1.75
4,1,0,periodic_k=4,1.0,1.0,0.0,2.0,78.0,1,down_left,stay,1.0,0.75,144.64466094067262,224.64466094067262,341.2132034355964,281.2132034355964,407.6991021073218,300.2487624375211,405.8541339273501,297.76933446832356,3.0905453628036375,3,3.8217389817239726,0.925259317006796,0.07474068299320408,3.516092380376723,3.5169637187657345,3.016042691063741,9.500246933270729,0.1072188714168641,0.1072188714168641,0.0,0.1886510700083636,2.8273916210553773,1,0.0,1,3.6119510237414305,0.09498730497569592,0,1,0,10.0,1.75
5,0,1,periodic_k=4,0.0,0.0,1.0,2.0,78.0,0,down_left,stay,1.0,0.75,137.57359312880715,217.57359312880715,341.2132034355964,281.2132034355964,405.5372744694122,300.3890152401967,405.83319271029166,299.54413977735123,0.8951995045818495,0,0.7830283446017148,0.994853687736284,0.0051463122637160205,3.684923056507542,3.684924070741924,3.1842300244593695,0.0,0.007830283446017147,0.007830283446017147,0.0,0.08800858628047732,3.096221438178892,1,0.0,1,3.7701551996084888,0.0852311288665648,0,1,0,10.0,1.75
6,0,0,periodic_k=4,0.0,0.0,0.0,2.0,78.0,0,down_left,stay,1.0,0.75,130.50252531694167,210.50252531694167,341.2132034355964,281.2132034355964,404.03304260683797,298.6062705139345,402.88973707236397,299.401548867637,1.3927006875228771,1,1.1822141546181764,0.9746375668346008,0.025362433165399177,3.8447415260938427,3.8449273373935378,3.3435363446827937,3.232572025768843,0.03521757370079483,0.03521757370079483,0.0,0.11575905231883353,3.2277772923639603,1,0.0,1,3.9214727031464873,0.07654536575294943,0,1,0,10.0,1.75
7,0,0,periodic_k=4,0.0,0.0,0.0,2.0,78.0,0,down,stay,1.0,0.75,130.50252531694167,200.50252531694167,341.2132034355964,281.2132034355964,402.209816944808,296.6342246976469,399.9462814344363,299.2589579579228,3.465951196181526,2,1.800728046662926,0.9499986976219399,0.050001302378060136,3.999776611766046,3.9999352072487397,3.4984005211359164,7.171449158736196,0.06903597541904644,0.06903597541904644,0.0,0.15003319313958635,3.34836732799633,1,0.0,1,4.074058572027424,0.07412336477868407,0,1,0,10.0,1.75
8,1,0,periodic_k=4,1.0,1.0,0.0,3.0,77.0,1,down_left,stay,1.0,0.5,123.4314575050762,193.4314575050762,341.2132034355964,281.2132034355964,400.8088123934438,294.8200989000599,397.0028257965086,299.1163670482086,5.739638836795159,3,2.559903701397071,0.9243461978116226,0.07565380218837739,4.14715135220188,4.14745050111746,3.6461451866341825,9.57639407405683,0.0950574014583117,0.0950574014583117,0.0,0.1763710312358571,3.4697741553983255,1,0.0,1,4.243651146966323,0.09620064584886388,0,1,0,10.0,1.5
9,0,1,periodic_k=4,0.0,0.0,1.0,3.0,77.0,0,down,stay,1.0,0.5,123.4314575050762,183.4314575050762,341.2132034355964,281.2132034355964,398.9125470938285,292.94669188194706,399.0089746329984,293.796441079326,0.8552028816348011,0,0.7635814268282269,0.9950214678090088,0.004978532190991211,4.292111979718652,4.291867521345681,3.789641173292684,0.0,0.00763581426828227,0.00763581426828227,0.0,0.08781217241096509,3.7018290008817187,1,0.0002444583729710459,1,4.384873160530427,0.09300563918474593,0,1,0,10.0,1.5
