slot,sync,sync_applied,sync_reason,sync_cost,sync_bandwidth,matured_sync_bandwidth,total_sync_cost,remaining_budget,pending_syncs,move_uav1,move_uav2,p_s,p_j,uav1_x,uav1_y,uav2_x,uav2_y,eve_true_x,eve_true_y,eve_est_x,eve_est_y,eve_error,aoi,sigma,twin_quality,twin_badness,pred_r_sec,true_r_sec,pred_margin,pred_error_radius,pred_loss_ub,cert_base_bound,cert_empirical_upper_bound,cert_required_margin,cert_slack,certified_safe,realized_loss,cert_cover,r_b,r_e,outage,success,served_user_idx,movement_cost,power_cost
0,0,0,random_budgeted_skip,0.0,0.0,0.0,0.0,80.0,0,up_left,left,0.65,1.0,172.92893218813452,267.0710678118655,310.0,260.0,418.51440246195097,301.18245639637024,418.0,299.0,2.2422590873756305,1,2.3432082707262705,0.9680820839704998,0.03191791602950025,1.9881041876993195,1.9877339121836348,1.9248867192254244,2.798737257856982,0.044224506254404605,0.044224506254404605,0.0,0.12483870080726293,1.8000480184181615,1,0.00037027551568469264,1,2.1020027463851685,0.11426883420153366,0,1,0,20.0,1.65
1,0,0,random_budgeted_skip,0.0,0.0,0.0,0.0,80.0,0,up_right,up_right,0.8,0.75,180.0,274.14213562373095,317.0710678118655,267.0710678118655,416.7415951617333,302.69431017106456,416.0,298.0,4.752526840120569,2,3.2040989372989093,0.9414904188605331,0.058509581139466915,2.1596919083137287,2.1585717419779953,1.8653480150307478,6.459848735640459,0.07880008178683184,0.07880008178683184,0.0,0.15986647655412578,1.705481538476622,1,0.001120166335733419,1,2.340613538032057,0.18204179605406184,0,1,2,20.0,1.55
2,0,0,random_budgeted_skip,0.0,0.0,0.0,0.0,80.0,0,up,down_right,0.8,0.75,180.0,284.14213562373095,324.14213562373095,260.0,415.3120005708573,304.60232992670655,414.0,297.0,7.714710999929154,3,4.328033618168879,0.9128297657774839,0.08717023422251612,2.3680968329594876,2.3645375650496017,2.0842091112915098,9.85251848929017,0.11439544711742981,0.11439544711742981,0.0,0.19591350232817573,1.888295608963334,1,0.0035592679098859215,1,2.543817771025792,0.17928020597619038,0,1,2,20.0,1.55
3,1,0,random_budgeted_sync,0.25,0.25,0.0,0.25,79.75,1,right,down_left,0.35,1.0,190.0,284.14213562373095,317.0710678118655,252.92893218813452,413.52925584459507,306.3146381706093,412.0,296.0,10.42738625106115,4,5.5939699677420505,0.8841625010641442,0.11583749893585578,1.544813348354139,1.541986385595409,2.133077581145013,13.48750992406343,0.1528647592218011,0.1528647592218011,0.0,0.23487290721098164,1.8982046739340315,1,0.002826962758730067,1,1.624247657555366,0.08226127195995693,0,1,2,20.0,1.35
4,0,1,random_budgeted_skip,0.0,0.0,0.25,0.25,79.75,0,down_left,stay,1.0,0.5,182.92893218813452,277.0710678118655,317.0710678118655,252.92893218813452,411.63299054497975,307.97676505842924,412.2012380191525,307.6814893135894,0.6403850071593385,0,1.538313104585492,0.9924058813155495,0.00759411868445048,2.531631647109572,2.5303333976861477,1.9823088277602041,0.0,0.015383131045854922,0.015383131045854922,0.0,0.09563696235631347,1.8866718654038905,1,0.0012982494234243802,1,2.8883338014581863,0.3580004037720386,0,1,2,10.0,1.5
5,0,0,random_budgeted_skip,0.0,0.0,0.0,0.25,79.75,0,down_right,down_right,0.8,0.25,190.0,270.0,324.14213562373095,245.85786437626905,409.7115507732919,309.50040019292123,410.24869784439323,309.436443092747,0.5409412968663478,1,2.043120618051452,0.9731103996098449,0.02688960039015509,2.213639083722473,2.211860144009162,1.9622132245574155,3.352222424512575,0.04454454072758997,0.04454454072758997,0.0,0.1251840750318464,1.837029149525569,1,0.0017789397133110008,1,2.7309655773033468,0.5191054332941846,0,1,2,20.0,1.05
6,0,0,random_budgeted_skip,0.0,0.0,0.0,0.25,79.75,0,down_right,down_left,0.35,0.5,197.07106781186548,262.9289321881345,317.0710678118655,238.78679656440357,407.69173687723674,311.02082278118024,408.29615766963394,311.19139687190466,0.6280286734764012,2,2.769391436878334,0.9525093697371647,0.04749063026283523,1.460418606814803,1.4598816836849817,1.8563193644624616,6.856217171596065,0.07683121739835974,0.07683121739835974,0.0,0.15789377825920717,1.6984255862032545,1,0.0005369231298213428,1,1.6399162274558545,0.18003454377087286,0,1,2,20.0,0.85
7,0,0,random_budgeted_skip,0.0,0.0,0.0,0.25,79.75,0,up,down_right,0.65,0.0,197.07106781186548,272.9289321881345,324.14213562373095,231.7157287525381,404.84037832612796,311.1837690616718,406.34361749487465,312.9463506510623,2.316553875417654,3,3.641012004921674,0.9277237057606236,0.07227629423937641,1.2580629347007628,1.2320831469541096,2.0571328193623537,11.268032078357574,0.11601831251936219,0.11601831251936219,0.0,0.19760921692769012,1.8595236024346635,1,0.025979787746653216,1,2.7249367726639857,1.4928536257098761,0,1,2,20.0,0.65
8,0,0,random_budgeted_skip,0.0,0.0,0.0,0.25,79.75,0,down_left,left,1.0,1.0,190.0,265.85786437626905,314.14213562373095,231.7157287525381,403.1382179521803,313.21296464802265,404.39107732011536,314.7013044302199,1.9454593038903847,4,4.619703489174718,0.9071439026095478,0.09285609739045222,2.3540845343763266,2.3540700017970866,1.8777289970081381,14.194326531727008,0.14736299408210923,0.14736299408210923,0.0,0.2293443970841994,1.6483845999239386,1,1.4532579240000842e-05,1,2.628706178087952,0.2746361762908656,0,1,2,20.0,2.0
9,1,0,random_budgeted_sync,0.5,0.5,0.0,0.75,79.25,1,down_left,up,1.0,0.0,182.92893218813452,258.7867965644036,314.14213562373095,241.7157287525381,400.7249537717873,313.4023511157742,402.43853714535607,316.45625820937755,3.5018161737207545,5,5.685824887769845,0.8818776140580489,0.11812238594195108,1.2448312922206293,1.2079710293954276,1.8896365850779206,16.60342021758248,0.17647877018319333,0.17647877018319333,0.0,0.25880769469372855,1.630828890384192,1,0.03686026282520172,1,2.9187006198358505,1.710729590440423,0,1,2,20.0,1.0
