slot,sync,sync_applied,sync_reason,sync_cost,sync_bandwidth,matured_sync_bandwidth,total_sync_cost,remaining_budget,pending_syncs,move_uav1,move_uav2,p_s,p_j,uav1_x,uav1_y,uav2_x,uav2_y,eve_true_x,eve_true_y,eve_est_x,eve_est_y,eve_error,aoi,sigma,twin_quality,twin_badness,pred_r_sec,true_r_sec,pred_margin,pred_error_radius,pred_loss_ub,cert_base_bound,cert_empirical_upper_bound,cert_required_margin,cert_slack,certified_safe,realized_loss,cert_cover,r_b,r_e,outage,success,served_user_idx,movement_cost,power_cost
0,1,0,hybrid_periodic_refresh_k=4,0.25,0.25,0.0,0.25,79.75,1,down_left,up_right,1.0,1.0,172.92893218813452,252.92893218813452,327.0710678118655,267.0710678118655,417.5914151239263,299.6880047681278,418.0,299.0,0.8001825803669905,1,2.3432082707262705,0.9713267561112692,0.028673243888730805,2.734301177518505,2.734015433028727,2.231020695894061,3.328707913677946,0.04740433018933038,0.04740433018933038,0.0,0.12807152180777082,2.10294917408629,1,0.00028574448977813915,1,2.86962873407065,0.13561330104192335,0,1,0,20.0,2.0
1,0,1,hybrid_secrecy_guard,0.0,0.0,0.25,0.25,79.75,0,down_left,up_right,1.0,1.0,165.85786437626905,245.85786437626905,334.14213562373095,274.14213562373095,415.3165504826682,299.9701741830452,414.74889067943354,299.8011726500249,0.5922830154340326,0,1.321344542989723,0.9933819850433145,0.006618014956685465,2.9521800745997764,2.9523888896924664,2.4512334601359,0.0,0.013213445429897231,0.013213445429897231,0.0,0.0934455798841962,2.3577878802517036,1,0.0,1,3.0628853168890164,0.1104964271965501,0,1,0,20.0,2.0
2,0,0,hybrid_secrecy_guard,0.0,0.0,0.0,0.25,79.75,0,down_left,up_right,1.0,0.75,158.78679656440357,238.78679656440357,341.2132034355964,281.2132034355964,412.72167770496515,299.9651338357939,411.8362856043605,299.02606641837565,1.290645879499739,1,2.0308149470203394,0.9714727869830442,0.02852721301695577,3.159698735873737,3.1601611012343533,2.6609785621029705,3.494877672948164,0.04527741550789238,0.04527741550789238,0.0,0.12592998476988923,2.535048577333081,1,0.0,1,3.2778550688830976,0.11769396764874446,0,1,0,20.0,1.75
3,0,0,hybrid_secrecy_guard,0.0,0.0,0.0,0.25,79.75,0,down_left,stay,1.0,0.75,151.7157287525381,231.7157287525381,341.2132034355964,281.2132034355964,409.9657645266931,300.22895322825275,408.9236805292875,298.2509601867264,2.235709178309096,2,3.09876407830289,0.947574598035593,0.05242540196440702,3.3411933934301192,3.3417819666112467,2.841774697638365,7.337023791897956,0.08300978353441665,0.08300978353441665,0.0,0.16415336232143676,2.6776213353169283,1,0.0,1,3.4476081538121846,0.10582618720093777,0,1,0,10.0,1.75
4,1,0,hybrid_periodic_refresh_k=4,0.25,0.25,0.0,0.5,79.5,1,down_left,stay,1.0,0.75,144.64466094067262,224.64466094067262,341.2132034355964,281.2132034355964,407.6991021073218,300.2487624375211,406.01107545421445,297.4758539550771,3.246298728338258,3,4.311071768494016,0.9229515407872628,0.07704845921273715,3.5161112501606864,3.5169637187657345,3.016060255943095,9.500246933270729,0.11211219928456453,0.11211219928456453,0.0,0.19359333115474103,2.8224669247883543,1,0.0,1,3.6119510237414305,0.09498730497569592,0,1,0,10.0,1.75
5,0,1,hybrid_secrecy_guard,0.0,0.0,0.25,0.5,79.5,0,down_left,stay,1.0,0.75,137.57359312880715,217.57359312880715,341.2132034355964,281.2132034355964,405.5372744694122,300.3890152401967,406.11320772156546,298.687858031335,1.796005278443825,0,1.5000229416149995,0.9899588963570414,0.010041103642958606,3.6849099328974297,3.684924070741924,3.184217511201187,0.0,0.015000229416149995,0.015000229416149995,0.0,0.0952502317103115,3.0889672794908756,1,0.0,1,3.7701551996084888,0.0852311288665648,0,1,0,10.0,1.75
6,0,0,hybrid_secrecy_guard,0.0,0.0,0.0,0.5,79.5,0,down_left,stay,1.0,0.75,130.50252531694167,210.50252531694167,341.2132034355964,281.2132034355964,404.03304260683797,298.6062705139345,403.2305172416938,298.2677484355586,0.8710018135731424,1,2.042622731380957,0.9723697549939366,0.027630245006063394,3.84470421405503,3.8449273373935378,3.3435010860484495,3.232572025768843,0.04382165946842263,0.04382165946842263,0.0,0.12444917894413761,3.219051907104312,1,0.0,1,3.9214727031464873,0.07654536575294943,0,1,0,10.0,1.75
7,0,0,hybrid_secrecy_guard,0.0,0.0,0.0,0.5,79.5,0,down,stay,1.0,0.75,130.50252531694167,200.50252531694167,341.2132034355964,281.2132034355964,402.209816944808,296.6342246976469,400.34782676182215,297.8476388397822,2.2224718945060884,2,2.7580044619452626,0.9489674203895803,0.051032579610419744,3.999685801316465,3.9999352072487397,3.498314858963789,7.171449158736196,0.07860873957186981,0.07860873957186981,0.0,0.15970168493393794,3.338613174029851,1,0.0,1,4.074058572027424,0.07412336477868407,0,1,0,10.0,1.75
8,1,0,hybrid_periodic_refresh_k=4,0.25,0.25,0.0,0.75,79.25,1,down_left,stay,1.0,0.5,123.4314575050762,193.4314575050762,341.2132034355964,281.2132034355964,400.8088123934438,294.8200989000599,397.4651362819505,297.42752924400577,4.240148928646338,3,3.5997099596271154,0.9235608250720373,0.07643917492796272,4.146985963543713,4.14745050111746,3.6460369437689746,9.57639407405683,0.10545546404061214,0.10545546404061214,0.0,0.18687307444398055,3.459163869324994,1,0.0,1,4.243651146966323,0.09620064584886388,0,1,0,10.0,1.5
9,0,1,hybrid_secrecy_guard,0.0,0.0,0.25,0.75,79.25,0,down,stay,1.0,0.5,123.4314575050762,183.4314575050762,341.2132034355964,281.2132034355964,398.9125470938285,292.94669188194706,399.1620172219919,294.23732868630606,1.3145260383924962,0,1.4620790454722925,0.9911940002317277,0.008805999768272288,4.292262754225504,4.291867521345681,3.789736440013714,0.0,0.014620790454722926,0.014620790454722926,0.0,0.09486699835927015,3.694869441654444,1,0.0003952328798231264,1,4.384873160530427,0.09300563918474593,0,1,0,10.0,1.5
