method,avg_sync_cost_mean,avg_sync_cost_std,avg_sync_cost_ci95,avg_sync_bandwidth_mean,avg_sync_bandwidth_std,avg_sync_bandwidth_ci95,sync_request_rate_mean,sync_request_rate_std,sync_request_rate_ci95,avg_sync_applied_mean,avg_sync_applied_std,avg_sync_applied_ci95,avg_pending_syncs_mean,avg_pending_syncs_std,avg_pending_syncs_ci95,avg_twin_quality_mean,avg_twin_quality_std,avg_twin_quality_ci95,avg_twin_badness_mean,avg_twin_badness_std,avg_twin_badness_ci95,avg_secrecy_rate_mean,avg_secrecy_rate_std,avg_secrecy_rate_ci95,avg_realized_loss_mean,avg_realized_loss_std,avg_realized_loss_ci95,avg_margin_gap_mean,avg_margin_gap_std,avg_margin_gap_ci95,avg_cert_slack_mean,avg_cert_slack_std,avg_cert_slack_ci95,certified_safe_rate_mean,certified_safe_rate_std,certified_safe_rate_ci95,certificate_violation_prob_mean,certificate_violation_prob_std,certificate_violation_prob_ci95,certificate_cover_rate_mean,certificate_cover_rate_std,certificate_cover_rate_ci95,prediction_violation_prob_mean,prediction_violation_prob_std,prediction_violation_prob_ci95,outage_prob_mean,outage_prob_std,outage_prob_ci95,success_prob_mean,success_prob_std,success_prob_ci95,runtime_sec_mean,runtime_sec_std,runtime_sec_ci95,runtime_per_slot_ms_mean,runtime_per_slot_ms_std,runtime_per_slot_ms_ci95,num_runs
aoi_only,0.2,0.0,0.0,0.2,0.0,0.0,0.2,0.0,0.0,0.2,0.0,0.0,0.2,0.0,0.0,0.924729683634661,0.0,0.0,0.07527031636533901,0.0,0.0,4.527959184536529,0.0,0.0,0.0003172327092749505,0.0,0.0,-0.00039574876069448095,0.0,0.0,3.8322988173353734,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.525,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.834925475000091,0.0,0.0,95.87313687500227,0.0,0.0,1
decoupled,0.25,0.0,0.0,0.25,0.0,0.0,0.25,0.0,0.0,0.25,0.0,0.0,0.25,0.0,0.0,0.963193616777707,0.0,0.0,0.03680638322229301,0.0,0.0,4.5286367852646325,0.0,0.0,1.767841766961986e-05,0.0,0.0,-0.0008856436950560487,0.0,0.0,3.8884669745046416,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.904110906999449,0.0,0.0,97.60277267498623,0.0,0.0,1
full,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.9,0.0,0.0,1.0,0.0,0.0,0.9818746625988132,0.0,0.0,0.018125337401186842,0.0,0.0,4.526106831865094,0.0,0.0,0.0038092578828255673,0.0,0.0,0.003282260115468594,0.0,0.0,3.935173929166215,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.825,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.17307326899936,0.0,0.0,104.326831724984,0.0,0.0,1
oracle_sync,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5617996965922344,0.0,0.0,0.4382003034077656,0.0,0.0,4.528037599243424,0.0,0.0,0.0024969205382838755,0.0,0.0,0.0024824886874433407,0.0,0.0,3.0664632408364616,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.875,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6.545373787999779,0.0,0.0,163.63434469999447,0.0,0.0,1
periodic,0.25,0.0,0.0,0.25,0.0,0.0,0.25,0.0,0.0,0.25,0.0,0.0,0.25,0.0,0.0,0.963193616777707,0.0,0.0,0.03680638322229301,0.0,0.0,4.5286367852646325,0.0,0.0,1.767841766961986e-05,0.0,0.0,-0.0008856436950560487,0.0,0.0,3.8884669745046416,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.121084868000253,0.0,0.0,103.02712170000632,0.0,0.0,1
random_budgeted,0.175,0.0,0.0,0.175,0.0,0.0,0.3,0.0,0.0,0.275,0.0,0.0,0.3,0.0,0.0,0.9576317920650546,0.0,0.0,0.04236820793494562,0.0,0.0,1.6910161001693815,0.0,0.0,0.0037651410914950833,0.0,0.0,0.0014254597470496622,0.0,0.0,1.757276546150751,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.525,0.0,0.0,0.075,0.0,0.0,0.925,0.0,0.0,0.05608693799968023,0.0,0.0,1.4021734499920058,0.0,0.0,1
risk_adaptive_hybrid_rollout,0.0625,0.0,0.0,0.0625,0.0,0.0,0.25,0.0,0.0,0.25,0.0,0.0,0.25,0.0,0.0,0.958084779669434,0.0,0.0,0.041915220330566084,0.0,0.0,4.5286367852646325,0.0,0.0,5.60639436346877e-05,0.0,0.0,-0.0011730944628234098,0.0,0.0,3.8807148878734963,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.225,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6.1692130370001905,0.0,0.0,154.23032592500476,0.0,0.0,1
rollout_joint,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5617996965922344,0.0,0.0,0.4382003034077656,0.0,0.0,4.528037599243424,0.0,0.0,0.0024969205382838755,0.0,0.0,0.0024824886874433407,0.0,0.0,3.0664632408364616,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.875,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6.386619987999438,0.0,0.0,159.66549969998596,0.0,0.0,1
security_margin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5617996965922344,0.0,0.0,0.4382003034077656,0.0,0.0,4.528037599243424,0.0,0.0,0.0024969205382838755,0.0,0.0,0.0024824886874433407,0.0,0.0,3.0664632408364616,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.875,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.238215565999781,0.0,0.0,105.95538914999452,0.0,0.0,1
security_risk,0.013749719023829491,0.0,0.0,0.013749719023829491,0.0,0.0,0.05,0.0,0.0,0.05,0.0,0.0,0.05,0.0,0.0,0.7543266533417267,0.0,0.0,0.2456733466582733,0.0,0.0,4.527967462011905,0.0,0.0,0.0007498035453629593,0.0,0.0,0.0007353716945224242,0.0,0.0,3.5425471440896907,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.875,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.929530112000066,0.0,0.0,98.23825280000165,0.0,0.0,1
