slot,sync,sync_reason,sync_cost,total_sync_cost,remaining_budget,move_uav1,move_uav2,p_s,p_j,uav1_x,uav1_y,uav2_x,uav2_y,eve_true_x,eve_true_y,eve_est_x,eve_est_y,eve_error,aoi,sigma,twin_quality,twin_badness,pred_r_sec,true_r_sec,r_b,r_e,outage,success,served_user_idx,movement_cost,power_cost
0,1,decoupled_periodic_k=7,1.0,1.0,27,left,left,1.0,0.5,170.0,260.0,310.0,260.0,230.1953836053374,248.5425426560631,230.1953836053374,248.5425426560631,0.0,0,3.8,0.9848,0.0152,0.6830261982689745,0.6830261982689745,2.3143780095271116,1.631351811258137,1,0,0,20.0,1.5
1,0,decoupled_periodic_k=7,0.0,1.0,27,left,left,1.0,0.5,160.0,260.0,300.0,260.0,224.72696010025575,245.8156041575628,225.1953836053374,246.5425426560631,0.8647890845257252,1,5.15,0.9599542245598172,0.04004577544018288,0.8207548772893474,0.8121913699957068,2.3548432485162114,1.5426518785205046,1,0,0,20.0,1.5
2,0,decoupled_periodic_k=7,0.0,1.0,27,left,left,1.0,0.5,150.0,260.0,290.0,260.0,218.13348953135866,244.59290254315175,220.1953836053374,244.5425426560631,2.062508979504396,2,6.5,0.9343593547961151,0.06564064520388489,0.9486170787335668,0.9103949849217263,2.388326430970797,1.4779314460490707,1,0,0,20.0,1.5
3,0,decoupled_periodic_k=7,0.0,1.0,27,left,left,1.0,0.5,140.0,260.0,280.0,260.0,213.1468153718195,242.7574876191092,215.1953836053374,242.5425426560631,2.0598138616189425,3,7.85,0.9114654188113573,0.08853458118864263,1.0648935715948986,1.0283619949157576,2.4139407009057647,1.385578705990007,1,0,0,20.0,1.5
4,0,decoupled_periodic_k=7,0.0,1.0,27,left,left,1.0,0.5,130.0,260.0,270.0,260.0,207.51993947061501,241.73868604253798,210.1953836053374,240.5425426560631,2.930658683475114,4,9.2,0.886606017962181,0.113393982037819,1.16810188856142,1.1225361060255061,2.430900232668215,1.308364126642709,1,0,0,20.0,1.5
5,0,decoupled_periodic_k=7,0.0,1.0,27,left,left,1.0,0.5,120.0,260.0,260.0,260.0,203.27449993275744,239.64122693734782,205.1953836053374,238.5425426560631,2.212894311422596,5,10.549999999999999,0.8653209877992991,0.13467901220070083,1.2570517103167727,1.2265261510790435,2.438568155329287,1.2120420042502433,1,0,0,20.0,1.5
6,0,decoupled_periodic_k=7,0.0,1.0,27,down,left,1.0,0.5,120.0,250.0,250.0,260.0,197.8298091664356,237.35587383010096,200.1953836053374,236.5425426560631,2.501489561170983,6,11.899999999999999,0.8417716484873653,0.1582283515126347,1.3382637819475367,1.3015260211609057,2.553993996226349,1.2524679750654435,1,0,0,20.0,1.5
7,1,decoupled_periodic_k=7,1.0,2.0,26,down,left,1.0,0.5,120.0,240.0,240.0,260.0,192.1909087324959,235.3771251494934,192.1909087324959,235.3771251494934,0.0,0,3.8,0.9848,0.0152,1.3813032905518439,1.3813032905518439,2.6730716841547304,1.2917683936028865,1,0,0,20.0,1.5
8,0,decoupled_periodic_k=7,0.0,2.0,26,down,left,1.0,0.5,120.0,230.0,230.0,260.0,186.69797455673546,233.84555916592703,187.1909087324959,233.3771251494934,0.6800106832872326,1,5.15,0.9603699759626038,0.03963002403739628,1.4800567062854015,1.474403202253039,2.7951976132382694,1.3207944109852305,1,0,0,20.0,1.5
9,0,decoupled_periodic_k=7,0.0,2.0,26,down,left,1.0,0.5,120.0,220.0,220.0,260.0,181.41039969700847,231.56239351477555,182.1909087324959,231.3771251494934,0.8021961865104043,2,6.5,0.9371950585803516,0.0628049414196484,1.5878890788814495,1.5774892691522706,2.919495741500019,1.3420064723477485,1,0,0,20.0,1.5
