slot,sync,sync_reason,sync_cost,total_sync_cost,remaining_budget,move_uav1,move_uav2,p_s,p_j,uav1_x,uav1_y,uav2_x,uav2_y,eve_true_x,eve_true_y,eve_est_x,eve_est_y,eve_error,aoi,sigma,twin_quality,twin_badness,pred_r_sec,true_r_sec,r_b,r_e,outage,success,served_user_idx,movement_cost,power_cost
0,0,security_risk,0.0,0.0,28,left,left,1.0,0.5,170.0,260.0,310.0,260.0,230.1953836053374,248.5425426560631,230.0,248.0,0.576651789976099,1,5.15,0.9606025334725538,0.039397466527446225,0.6795398854193477,0.6830261982689745,2.3143780095271116,1.631351811258137,1,0,0,20.0,1.5
1,0,security_risk,0.0,0.0,28,left,left,1.0,0.5,160.0,260.0,300.0,260.0,224.72696010025575,245.8156041575628,225.0,246.0,0.329473236485868,2,6.5,0.9382586852179068,0.0617413147820932,0.8172935189061026,0.8121913699957068,2.3548432485162114,1.5426518785205046,1,0,0,20.0,1.5
2,0,security_risk,0.0,0.0,28,left,left,1.0,0.5,150.0,260.0,290.0,260.0,218.13348953135866,244.59290254315175,220.0,244.0,1.9584163896433053,3,7.85,0.9116935631233025,0.08830643687669744,0.9451872797578853,0.9103949849217263,2.388326430970797,1.4779314460490707,1,0,0,20.0,1.5
3,0,security_risk,0.0,0.0,28,left,left,1.0,0.5,140.0,260.0,280.0,260.0,213.1468153718195,242.7574876191092,215.0,242.0,2.0020191705446253,4,9.2,0.8886954568662746,0.1113045431337254,1.0615024740658643,1.0283619949157576,2.4139407009057647,1.385578705990007,1,0,0,20.0,1.5
4,0,security_risk,0.0,0.0,28,left,left,1.0,0.5,130.0,260.0,270.0,260.0,207.51993947061501,241.73868604253798,210.0,240.0,3.028816498886935,5,10.549999999999999,0.8634851628775044,0.1365148371224956,1.1647570593046788,1.1225361060255061,2.430900232668215,1.308364126642709,1,0,0,20.0,1.5
5,0,security_risk,0.0,0.0,28,left,left,1.0,0.5,120.0,260.0,260.0,260.0,203.27449993275744,239.64122693734782,205.0,238.0,2.381381183668463,6,11.899999999999999,0.842041892336746,0.15795810766325402,1.2537609606250666,1.2265261510790435,2.438568155329287,1.2120420042502433,1,0,0,20.0,1.5
6,0,security_risk,0.0,0.0,28,down,left,1.0,0.5,120.0,250.0,250.0,260.0,197.8298091664356,237.35587383010096,200.0,236.0,2.5589298734509227,7,13.249999999999998,0.8187424077847354,0.18125759221526455,1.3343635190007404,1.3015260211609057,2.553993996226349,1.2524679750654435,1,0,0,20.0,1.5
7,0,security_risk,0.0,0.0,28,down,left,1.0,0.5,120.0,240.0,240.0,260.0,192.1909087324959,235.3771251494934,195.0,234.0,3.128492836260777,8,14.599999999999998,0.7945608911184132,0.20543910888158673,1.4218926323556291,1.3813032905518439,2.6730716841547304,1.2917683936028865,1,0,0,20.0,1.5
8,0,security_risk,0.0,0.0,28,down,left,1.0,0.5,120.0,230.0,230.0,260.0,186.69797455673546,233.84555916592703,190.0,232.0,3.7827847761805917,9,15.949999999999998,0.7701887342535937,0.22981126574640634,1.5171091386031859,1.474403202253039,2.7951976132382694,1.3207944109852305,1,0,0,20.0,1.5
9,0,security_risk,0.0,0.0,28,down,left,1.0,0.5,120.0,220.0,220.0,260.0,181.41039969700847,231.56239351477555,185.0,230.0,3.9148823520317397,10,17.299999999999997,0.7469915147079286,0.25300848529207143,1.6205081188489796,1.5774892691522706,2.919495741500019,1.3420064723477485,1,0,0,20.0,1.5
10,0,security_risk,0.0,0.0,28,down,left,1.0,0.5,120.0,210.0,210.0,260.0,177.64020210037006,228.9818178967339,180.0,228.0,2.5558975936928405,11,18.65,0.7271492304141911,0.2728507695858089,1.7320989459913474,1.7078367736938218,3.0447412882193046,1.3369045145254828,1,0,0,20.0,1.5
11,1,security_risk,1.0,1.0,27,down,left,1.0,0.5,120.0,200.0,200.0,260.0,171.38586939001368,227.27479005065985,171.38586939001368,227.27479005065985,0.0,0,3.8,0.9848,0.0152,1.8188798775317356,1.8188798775317356,3.169276631711495,1.3503967541797595,1,0,0,20.0,1.5
12,0,security_risk,0.0,1.0,27,down,left,1.0,0.5,120.0,190.0,190.0,260.0,164.72357458088618,225.48629295932042,166.38586939001368,225.27479005065985,1.6756961278299007,1,5.15,0.9581296837123827,0.04187031628761728,1.9511972653629435,1.9354777820390086,3.290929992993549,1.3554522109545404,1,0,0,20.0,1.5
13,0,security_risk,0.0,1.0,27,down,stay,1.0,0.5,120.0,180.0,190.0,260.0,160.50895069440028,223.5423849839237,161.38586939001368,223.27479005065985,0.9168388337242243,2,6.5,0.9369371126241205,0.0630628873758795,2.070572437157715,2.064502085448832,3.426774613291537,1.3622725278427048,1,0,0,10.0,1.5
14,0,security_risk,0.0,1.0,27,down,left,1.0,0.5,120.0,170.0,180.0,260.0,155.51637075383724,219.90189750212406,156.38586939001368,221.27479005065985,1.6250728685624494,3,7.85,0.9124435860457345,0.08755641395426551,2.2125888445934474,2.1864871885320465,3.533149711198834,1.3466625226667874,1,0,0,20.0,1.5
15,0,security_risk,0.0,1.0,27,down,stay,1.0,0.5,120.0,160.0,180.0,260.0,150.96061370228426,218.21893155592136,151.38586939001368,219.27479005065985,1.1382792104126493,4,9.2,0.8906388717765715,0.10936112822342846,2.333091619000202,2.314462893992772,3.6455569910166763,1.331094097023904,1,0,0,10.0,1.5
16,0,security_risk,0.0,1.0,27,down,left,1.0,0.5,120.0,150.0,170.0,260.0,145.02301549558467,217.7494681537183,146.38586939001368,217.27479005065985,1.443152812103936,5,10.549999999999999,0.8670529061727661,0.13294709382723385,2.4631136001171967,2.4609020103597468,3.720205580609981,1.2593035702502342,1,0,0,20.0,1.5
17,0,security_risk,0.0,1.0,27,down,stay,1.0,0.5,120.0,140.0,170.0,260.0,139.0438025349925,214.4060358643446,141.38586939001368,215.27479005065985,2.4980013990446635,6,11.899999999999999,0.8417794968521495,0.1582205031478505,2.560548622370574,2.5322458684024722,3.791242900593041,1.2589970321905688,1,0,0,10.0,1.5
18,0,security_risk,0.0,1.0,27,down,stay,1.0,0.5,120.0,130.0,170.0,260.0,132.59495631906395,212.42681259020145,136.38586939001368,213.27479005065985,3.8845962061639,7,13.249999999999998,0.8157596585361313,0.18424034146386875,2.635361250993447,2.5992865251629484,3.8356003680553967,1.2363138428924483,0,1,0,10.0,1.5
19,0,security_risk,0.0,1.0,27,down,left,1.0,0.5,120.0,120.0,160.0,260.0,127.86525331918163,210.77959171894918,131.38586939001368,211.27479005065985,3.555271987616407,8,14.599999999999998,0.7936006380278631,0.2063993619721369,2.705934620446211,2.682010454375103,3.832518411150168,1.1505079567750651,0,1,0,20.0,1.5
20,0,security_risk,0.0,1.0,27,down,stay,1.0,0.5,120.0,110.0,160.0,260.0,122.59536533660925,208.12945170132048,126.38586939001368,209.27479005065985,3.95976273447575,9,15.949999999999998,0.7697905338474296,0.23020946615257043,2.728713098518419,2.69476446427827,3.8174412344094155,1.1226767701311455,0,1,0,10.0,1.5
21,0,security_risk,0.0,1.0,27,left,left,1.0,0.5,110.0,110.0,150.0,260.0,118.26957700221568,205.41138339207106,121.38586939001368,207.27479005065985,3.6309176004862427,10,17.299999999999997,0.747630435398906,0.25236956460109405,2.7501245672221106,2.7078731505267974,3.846718950029207,1.1388457995024095,0,1,0,20.0,1.5
22,0,security_risk,0.0,1.0,27,down,stay,1.0,0.5,110.0,100.0,150.0,260.0,112.30170483743181,204.53243592606563,116.38586939001368,205.27479005065985,4.15108295976704,11,18.65,0.7235600633405241,0.27643993665947586,2.7420805354327182,2.713878365118549,3.8010503327236957,1.0871719676051466,0,1,0,10.0,1.5
23,0,security_risk,0.0,1.0,27,left,left,1.0,0.5,100.0,100.0,140.0,260.0,107.4437620439461,202.9094678423784,111.38586939001368,203.27479005065985,3.958998692066425,12,20.0,0.7010922529428505,0.29890774705714945,2.7339322770305143,2.7120235667400454,3.801929246582033,1.0899056798419877,0,1,0,20.0,1.5
24,0,security_risk,0.0,1.0,27,stay,stay,1.0,0.5,100.0,100.0,140.0,260.0,102.94443460766169,200.45203015517896,106.38586939001368,201.27479005065985,3.5384187438450256,13,21.35,0.6791385578263487,0.3208614421736513,2.6824905865694797,2.6550607712447865,3.801929246582033,1.1468684753372465,0,1,0,0.0,1.5
25,0,security_risk,0.0,1.0,27,stay,left,1.0,0.5,100.0,100.0,130.0,260.0,97.51814453886047,198.9644955016315,101.38586939001368,199.27479005065985,3.8801518309706453,14,22.700000000000003,0.655469658380316,0.344530341619684,2.654752726330376,2.6370514449438316,3.7903849690348097,1.1533335240909783,0,1,0,10.0,1.5
26,1,security_risk,1.0,2.0,26,stay,left,1.0,0.5,100.0,100.0,120.0,260.0,92.0244235597583,197.23331205478723,92.0244235597583,197.23331205478723,0.0,0,3.8,0.9848,0.0152,2.618265083796267,2.618265083796267,3.7818486916007443,1.1635836078044772,0,1,0,10.0,1.5
27,0,security_risk,0.0,2.0,26,stay,left,1.0,0.5,100.0,100.0,110.0,260.0,86.95285591741583,194.27789484211416,87.0244235597583,195.23331205478723,0.9580939294779174,1,5.15,0.9597442886586747,0.040255711341325315,2.5993846660563444,2.583403813528574,3.7766057668072466,1.1932019532786728,0,1,0,10.0,1.5
28,0,security_risk,0.0,2.0,26,stay,left,1.0,0.5,100.0,100.0,100.0,260.0,82.72596853256208,191.24640528227232,82.0244235597583,193.23331205478723,2.1071221776470104,2,6.5,0.9342589751002942,0.06574102489970576,2.5833501215568333,2.549761319618044,3.7748374080337226,1.2250760884156782,1,0,0,10.0,1.5
29,0,security_risk,0.0,2.0,26,stay,left,1.0,0.5,100.0,100.0,90.0,260.0,77.91233928818589,189.2999930255482,77.0244235597583,191.23331205478723,2.1274672287974004,3,7.85,0.9113131987352059,0.08868680126479415,2.5703544202115705,2.5364083630594516,3.7766057668072466,1.2401974037477952,1,0,0,10.0,1.5
30,0,security_risk,0.0,2.0,26,stay,down,1.0,0.5,100.0,100.0,90.0,250.0,73.92562826202104,186.4042928467454,72.0244235597583,189.23331205478723,3.408508324674536,4,9.2,0.8855308562694824,0.1144691437305177,2.5634080816125318,2.515801456672745,3.7248845439702665,1.2090830872975213,1,0,0,10.0,1.5
31,0,security_risk,0.0,2.0,26,right,left,1.0,0.5,110.0,100.0,80.0,250.0,68.49107090077018,184.32404761089992,67.0244235597583,187.23331205478723,3.258047579051624,5,10.549999999999999,0.8629693929471338,0.13703060705286615,2.583911334826957,2.5342916178812516,3.7160741802419675,1.181782562360716,1,0,0,20.0,1.5
32,0,security_risk,0.0,2.0,26,stay,left,1.0,0.5,110.0,100.0,70.0,250.0,63.63574855155665,183.01881332589014,62.024423559758304,185.23331205478723,2.7386808593702208,6,11.899999999999999,0.841237968066417,0.158762031933583,2.590650817287404,2.5501457441585726,3.72611485326626,1.1759691091076871,0,1,0,10.0,1.5
33,0,security_risk,0.0,2.0,26,stay,left,1.0,0.5,110.0,100.0,60.0,250.0,58.88462741530982,181.0387017916581,57.024423559758304,183.23331205478723,2.8769206786493897,7,13.249999999999998,0.8180269284730389,0.1819730715269611,2.600463166672597,2.557689988521446,3.7396575277509836,1.181967539229538,0,1,0,10.0,1.5
34,0,security_risk,0.0,2.0,26,stay,down,1.0,0.5,110.0,100.0,60.0,240.0,54.70729764719246,180.71555262582714,52.024423559758304,181.23331205478723,2.7323777548689607,8,14.599999999999998,0.7954521500515448,0.20454784994845515,2.6132288296673236,2.5941753255561935,3.6884209766090508,1.094245651052857,0,1,0,10.0,1.5
