slot,sync,sync_reason,sync_cost,total_sync_cost,remaining_budget,move_uav1,move_uav2,p_s,p_j,uav1_x,uav1_y,uav2_x,uav2_y,eve_true_x,eve_true_y,eve_est_x,eve_est_y,eve_error,aoi,sigma,twin_quality,twin_badness,pred_r_sec,true_r_sec,r_b,r_e,outage,success,served_user_idx,movement_cost,power_cost
0,1,decoupled_periodic_k=9,1.0,1.0,25,left,left,1.0,0.5,170.0,260.0,310.0,260.0,233.71330195582811,245.77201112563165,233.71330195582811,245.77201112563165,0.0,0,3.6,0.9856,0.014400000000000003,1.001909856001,1.001909856001,2.5921862864470895,1.5902764304460895,1,0,0,20.0,1.5
1,0,decoupled_periodic_k=9,0.0,1.0,25,left,left,1.0,0.5,160.0,260.0,300.0,260.0,229.73861779289263,244.9304064271055,229.21330195582811,244.27201112563165,0.8422832668845098,1,4.8,0.9614048626495099,0.03859513735049015,1.1459986637654858,1.1555758258762583,2.6317639143679745,1.4761880884917162,1,0,0,20.0,1.5
2,0,decoupled_periodic_k=9,0.0,1.0,25,left,left,1.0,0.5,150.0,260.0,290.0,260.0,223.87289316083493,242.51888077230188,224.71330195582811,242.77201112563165,0.8777026367049048,2,6.0,0.939025169067414,0.06097483093258603,1.2787433190597601,1.263746291813837,2.6640780631681165,1.4003317713542796,1,0,0,20.0,1.5
3,0,decoupled_periodic_k=9,0.0,1.0,25,left,left,1.0,0.5,140.0,260.0,280.0,260.0,219.46238144305204,240.7975109576614,220.21330195582811,241.27201112563165,0.888274746861405,3,7.2,0.9167013818195618,0.08329861818043817,1.3984039631009912,1.3855898423348347,2.688257752650636,1.3026679103158014,1,0,0,20.0,1.5
4,0,decoupled_periodic_k=9,0.0,1.0,25,left,left,1.0,0.5,130.0,260.0,270.0,260.0,214.95062063279903,238.7003802083599,215.71330195582811,239.77201112563165,1.3153233911666409,4,8.4,0.893440522369875,0.10655947763012494,1.503515803307882,1.4909106848121065,2.703533783291671,1.2126230984795643,1,0,0,20.0,1.5
5,0,decoupled_periodic_k=9,0.0,1.0,25,down,left,1.0,0.5,130.0,250.0,260.0,260.0,211.066199215203,237.74483456316014,211.21330195582811,238.27201112563165,0.5473155801899833,5,9.6,0.8728685399445726,0.12713146005542747,1.593785168243737,1.5906442525367968,2.817026437650627,1.2263821851138303,1,0,0,20.0,1.5
6,0,decoupled_periodic_k=9,0.0,1.0,25,down,left,1.0,0.5,130.0,240.0,250.0,260.0,206.61242070349584,237.03390340803776,206.71330195582811,236.77201112563165,0.2806503067092721,6,10.799999999999999,0.8511685368099041,0.14883146319009585,1.6911676991116575,1.6903721046972717,2.9333675868407605,1.2429954821434888,1,0,0,20.0,1.5
7,0,decoupled_periodic_k=9,0.0,1.0,25,down,left,1.0,0.5,130.0,230.0,240.0,260.0,202.43967724307228,234.9323986840195,202.21330195582811,235.27201112563165,0.4081450491830723,7,11.999999999999998,0.8285816736393381,0.1714183263606619,1.7961199262006993,1.7979803211270315,3.0519037885004496,1.253923467373418,1,0,0,20.0,1.5
8,0,decoupled_periodic_k=9,0.0,1.0,25,down,left,1.0,0.5,130.0,220.0,230.0,260.0,198.19780279193003,232.7611808634392,197.71330195582811,233.77201112563165,1.1209455290724548,8,13.199999999999998,0.804677872559587,0.195322127440413,1.908717571079638,1.9095408796401814,3.1717213533726936,1.2621804737325122,1,0,0,20.0,1.5
9,1,decoupled_periodic_k=9,1.0,2.0,24,down,left,1.0,0.5,130.0,210.0,220.0,260.0,194.31271800284512,231.22623272574882,194.31271800284512,231.22623272574882,0.0,0,3.6,0.9856,0.014400000000000003,2.034643809095899,2.034643809095899,3.2915792688245595,1.2569354597286604,1,0,0,20.0,1.5
10,0,decoupled_periodic_k=9,0.0,2.0,24,down,stay,1.0,0.5,130.0,200.0,220.0,260.0,189.68331434836344,229.24958204466606,189.81271800284512,229.72623272574882,0.4939040165557188,1,4.8,0.9621887159627496,0.03781128403725037,2.1406945011259144,2.13493759392434,3.4319559165254945,1.297018322601155,1,0,0,10.0,1.5
11,0,decoupled_periodic_k=9,0.0,2.0,24,down,left,1.0,0.5,130.0,190.0,210.0,260.0,186.03909328543526,227.6414114072179,185.31271800284512,228.22623272574882,0.9325433103969717,2,6.0,0.9389017775516069,0.061098222448393184,2.2754252945124183,2.2776989336255067,3.5468047845704467,1.2691058509449398,1,0,0,20.0,1.5
12,0,decoupled_periodic_k=9,0.0,2.0,24,down,stay,1.0,0.5,130.0,180.0,210.0,260.0,181.23926380992108,225.89491792187613,180.81271800284512,226.72623272574882,0.9343584048275971,3,7.2,0.9165976935891379,0.0834023064108621,2.3968620332832287,2.3923179919781647,3.677603507812454,1.2852855158342888,0,1,0,10.0,1.5
13,0,decoupled_periodic_k=9,0.0,2.0,24,down,stay,1.0,0.5,130.0,170.0,210.0,260.0,177.11188023980844,224.650728766931,176.31271800284512,225.22623272574882,0.9848172864055594,4,8.4,0.8941841611055875,0.10581583889441251,2.517805507156098,2.519461908714144,3.798684094191812,1.2792221854776678,0,1,0,10.0,1.5
14,0,decoupled_periodic_k=9,0.0,2.0,24,down,left,1.0,0.5,130.0,160.0,200.0,260.0,172.90079306792563,223.4523034690365,171.81271800284512,223.72623272574882,1.1220269983083866,5,9.6,0.8715754392538062,0.12842456074619385,2.657206299724616,2.6635086038559694,3.8831690540163653,1.2196604501603958,0,1,0,20.0,1.5
15,0,decoupled_periodic_k=9,0.0,2.0,24,down,stay,1.0,0.5,130.0,150.0,200.0,260.0,169.89994638853494,221.66781295756726,167.31271800284512,222.22623272574882,2.64680625607828,6,10.799999999999999,0.8458446859238239,0.1541553140761761,2.7662949620918247,2.7811957247067665,3.9724980308573943,1.1913023061506278,0,1,0,10.0,1.5
16,0,decoupled_periodic_k=9,0.0,2.0,24,down,stay,1.0,0.5,130.0,140.0,200.0,260.0,165.04137647818487,219.59817204779375,162.81271800284512,220.72623272574882,2.4978870056213838,7,11.999999999999998,0.8238797542373519,0.1761202457626481,2.8588348949156193,2.8618792587265562,4.0398608536208,1.1779815948942436,0,1,0,10.0,1.5
