slot,sync,sync_reason,sync_cost,total_sync_cost,remaining_budget,move_uav1,move_uav2,p_s,p_j,uav1_x,uav1_y,uav2_x,uav2_y,eve_true_x,eve_true_y,eve_est_x,eve_est_y,eve_error,aoi,sigma,twin_quality,twin_badness,pred_r_sec,true_r_sec,r_b,r_e,outage,success,served_user_idx,movement_cost,power_cost
0,1,full_sync,1.0,1.0,25,left,left,1.0,0.5,170.0,260.0,310.0,260.0,233.71330195582811,245.77201112563165,233.71330195582811,245.77201112563165,0.0,0,3.6,0.9856,0.014400000000000003,1.001909856001,1.001909856001,2.5921862864470895,1.5902764304460895,1,0,0,20.0,1.5
1,1,full_sync,1.0,2.0,24,left,left,1.0,0.5,160.0,260.0,300.0,260.0,229.73861779289263,244.9304064271055,229.73861779289263,244.9304064271055,0.0,0,3.6,0.9856,0.014400000000000003,1.1555758258762583,1.1555758258762583,2.6317639143679745,1.4761880884917162,1,0,0,20.0,1.5
2,1,full_sync,1.0,3.0,23,left,left,1.0,0.5,150.0,260.0,290.0,260.0,223.87289316083493,242.51888077230188,223.87289316083493,242.51888077230188,0.0,0,3.6,0.9856,0.014400000000000003,1.263746291813837,1.263746291813837,2.6640780631681165,1.4003317713542796,1,0,0,20.0,1.5
3,1,full_sync,1.0,4.0,22,left,left,1.0,0.5,140.0,260.0,280.0,260.0,219.46238144305204,240.7975109576614,219.46238144305204,240.7975109576614,0.0,0,3.6,0.9856,0.014400000000000003,1.3855898423348347,1.3855898423348347,2.688257752650636,1.3026679103158014,1,0,0,20.0,1.5
4,1,full_sync,1.0,5.0,21,left,left,1.0,0.5,130.0,260.0,270.0,260.0,214.95062063279903,238.7003802083599,214.95062063279903,238.7003802083599,0.0,0,3.6,0.9856,0.014400000000000003,1.4909106848121065,1.4909106848121065,2.703533783291671,1.2126230984795643,1,0,0,20.0,1.5
5,1,full_sync,1.0,6.0,20,left,left,1.0,0.5,120.0,260.0,260.0,260.0,211.066199215203,237.74483456316014,211.066199215203,237.74483456316014,0.0,0,3.6,0.9856,0.014400000000000003,1.5904088566839791,1.5904088566839791,2.709285903955963,1.1188770472719838,1,0,0,20.0,1.5
6,1,full_sync,1.0,7.0,19,down,left,1.0,0.5,120.0,250.0,250.0,260.0,206.61242070349584,237.03390340803776,206.61242070349584,237.03390340803776,0.0,0,3.6,0.9856,0.014400000000000003,1.681067141128602,1.681067141128602,2.8243057508169405,1.1432386096883385,1,0,0,20.0,1.5
7,1,full_sync,1.0,8.0,18,down,left,1.0,0.5,120.0,240.0,240.0,260.0,202.43967724307228,234.9323986840195,202.43967724307228,234.9323986840195,0.0,0,3.6,0.9856,0.014400000000000003,1.7795871121492965,1.7795871121492965,2.942552986274574,1.1629658741252775,1,0,0,20.0,1.5
8,1,full_sync,1.0,9.0,17,down,left,1.0,0.5,120.0,230.0,230.0,260.0,198.19780279193003,232.7611808634392,198.19780279193003,232.7611808634392,0.0,0,3.6,0.9856,0.014400000000000003,1.8814887404074199,1.8814887404074199,3.0634409674540053,1.1819522270465854,1,0,0,20.0,1.5
9,1,full_sync,1.0,10.0,16,down,left,1.0,0.5,120.0,220.0,220.0,260.0,194.31271800284512,231.22623272574882,194.31271800284512,231.22623272574882,0.0,0,3.6,0.9856,0.014400000000000003,1.9958289235409026,1.9958289235409026,3.186122216795344,1.1902932932544414,1,0,0,20.0,1.5
