slot,sync,sync_reason,sync_cost,total_sync_cost,remaining_budget,move_uav1,move_uav2,p_s,p_j,uav1_x,uav1_y,uav2_x,uav2_y,eve_true_x,eve_true_y,eve_est_x,eve_est_y,eve_error,aoi,sigma,twin_quality,twin_badness,pred_r_sec,true_r_sec,r_b,r_e,outage,success,served_user_idx,movement_cost,power_cost
0,1,periodic_k=9,1.0,1.0,25,left,left,1.0,0.5,170.0,260.0,310.0,260.0,234.512173913026,246.5716135977482,234.512173913026,246.5716135977482,0.0,0,3.6,0.9856,0.014400000000000003,1.016859995404948,1.016859995404948,2.5921862864470895,1.5753262910421415,1,0,0,20.0,1.5
1,0,periodic_k=9,0.0,1.0,25,left,left,1.0,0.5,160.0,260.0,300.0,260.0,230.24090085746087,245.86713727399794,230.012173913026,245.0716135977482,0.8277523389181062,1,4.8,0.9614375572374343,0.038562442762565735,1.1606121705917594,1.1646692666075442,2.6317639143679745,1.4670946477604303,1,0,0,20.0,1.5
2,0,periodic_k=9,0.0,1.0,25,left,left,1.0,0.5,150.0,260.0,290.0,260.0,226.31787161249844,244.77240683130933,225.512173913026,243.5716135977482,1.4460474309998712,2,6.0,0.9377463932802503,0.06225360671974971,1.2929087905588388,1.3071584047907152,2.6640780631681165,1.3569196583774012,1,0,0,20.0,1.5
3,0,periodic_k=9,0.0,1.0,25,left,left,1.0,0.5,140.0,260.0,280.0,260.0,221.55245220389392,242.55919534572143,221.012173913026,242.0716135977482,0.7277613568607374,3,7.2,0.9170625369470633,0.08293746305293667,1.4120258076477803,1.4211922891333872,2.688257752650636,1.267065463517249,1,0,0,20.0,1.5
4,0,periodic_k=9,0.0,1.0,25,left,left,1.0,0.5,130.0,260.0,270.0,260.0,217.3157704312292,240.70082368903724,216.512173913026,240.5716135977482,0.8139180620671916,4,8.4,0.8945686843603489,0.10543131563965118,1.5165155417427312,1.529201848700337,2.703533783291671,1.174331934591334,1,0,0,20.0,1.5
5,0,periodic_k=9,0.0,1.0,25,down,left,1.0,0.5,130.0,250.0,260.0,260.0,213.39483483707855,239.3487018026728,212.012173913026,239.0716135977482,1.4101521564037558,5,9.6,0.8709271576480915,0.12907284235190847,1.6075473666840818,1.6293650594934523,2.817026437650627,1.1876613781571748,1,0,0,20.0,1.5
6,0,periodic_k=9,0.0,1.0,25,down,left,1.0,0.5,130.0,240.0,250.0,260.0,208.37312879091436,238.03610948666162,207.512173913026,237.5716135977482,0.9782636314292871,6,10.799999999999999,0.8495989068292841,0.1504010931707159,1.7056263033369656,1.7199410382524458,2.9333675868407605,1.2134265485883147,1,0,0,20.0,1.5
7,0,periodic_k=9,0.0,1.0,25,down,left,1.0,0.5,130.0,230.0,240.0,260.0,204.36955512327748,236.66037356805856,203.012173913026,236.0716135977482,1.4795681980171114,7,11.999999999999998,0.8261709715544615,0.17382902844553846,1.8111690117339052,1.8331673042743275,3.0519037885004496,1.2187364842261221,1,0,0,20.0,1.5
8,0,periodic_k=9,0.0,1.0,25,down,left,1.0,0.5,130.0,220.0,230.0,260.0,199.32175675471453,235.34400386782974,198.512173913026,234.5716135977482,1.1189330216206352,8,13.199999999999998,0.8046824007013536,0.1953175992986464,1.924209388577884,1.9395257792159841,3.1717213533726936,1.2321955741567094,1,0,0,20.0,1.5
9,1,periodic_k=9,1.0,2.0,24,down,left,1.0,0.5,130.0,210.0,220.0,260.0,195.07165794801944,234.42100503101324,195.07165794801944,234.42100503101324,0.0,0,3.6,0.9856,0.014400000000000003,2.0668459389313396,2.0668459389313396,3.2915792688245595,1.2247333298932201,1,0,0,20.0,1.5
10,0,periodic_k=9,0.0,2.0,24,down,stay,1.0,0.5,130.0,200.0,220.0,260.0,191.07708204388086,232.28522477193587,190.57165794801944,232.92100503101324,0.812200747666378,1,4.8,0.9614725483177506,0.03852745168224935,2.1774178138412204,2.178319374455887,3.4319559165254945,1.2536365420696078,1,0,0,10.0,1.5
11,0,periodic_k=9,0.0,2.0,24,down,left,1.0,0.5,130.0,190.0,210.0,260.0,186.2286420945388,231.2092239615032,186.07165794801944,231.42100503101324,0.2636195054642748,2,6.0,0.9404068561127054,0.059593143887294614,2.315199732227166,2.314851208239433,3.5468047845704467,1.2319535763310137,1,0,0,20.0,1.5
12,0,periodic_k=9,0.0,2.0,24,down,stay,1.0,0.5,130.0,180.0,210.0,260.0,180.5402670730798,230.25328412919086,181.57165794801944,229.92100503101324,1.083594267239576,3,7.2,0.916261912898711,0.08373808710128905,2.4401327176849854,2.4326052787360837,3.677603507812454,1.2449982290763701,0,1,0,10.0,1.5
13,0,periodic_k=9,0.0,2.0,24,down,stay,1.0,0.5,130.0,170.0,210.0,260.0,175.4526521512453,228.45804117847175,177.07165794801944,228.42100503101324,1.6194293582020836,4,8.4,0.8927562839440453,0.10724371605595469,2.563847029502094,2.547208579320827,3.798684094191812,1.251475514870985,0,1,0,10.0,1.5
14,0,periodic_k=9,0.0,2.0,24,down,left,1.0,0.5,130.0,160.0,200.0,260.0,171.96299010521972,226.9129031569929,172.57165794801944,226.92100503101324,0.6087217617443162,5,9.6,0.8727303760360753,0.12726962396392472,2.7041620816271337,2.6987203452292916,3.8831690540163653,1.1844487087870736,0,1,0,20.0,1.5
15,0,periodic_k=9,0.0,2.0,24,down,stay,1.0,0.5,130.0,150.0,200.0,260.0,167.25167470366304,225.60989232921696,168.07165794801944,225.42100503101324,0.8414576236792555,6,10.799999999999999,0.8499067203467217,0.15009327965327832,2.814483836787659,2.8099800650720903,3.9724980308573943,1.1625179657853042,0,1,0,10.0,1.5
16,0,periodic_k=9,0.0,2.0,24,down,stay,1.0,0.5,130.0,140.0,200.0,260.0,162.68591327332052,223.67175601452092,163.57165794801944,223.92100503101324,0.9201460215530296,7,11.999999999999998,0.8274296714515057,0.1725703285484943,2.907536053645109,2.8971278778107616,4.0398608536208,1.1427329758100382,0,1,0,10.0,1.5
17,0,periodic_k=9,0.0,2.0,24,down,left,1.0,0.5,130.0,130.0,190.0,260.0,158.36081355507935,223.66753689827198,159.07165794801944,222.42100503101324,1.4349708871840994,8,13.199999999999998,0.8039713155038358,0.1960286844961642,3.00048426221372,3.0119270016128894,4.058959228903721,1.047032227290831,0,1,0,20.0,1.5
18,1,periodic_k=9,1.0,3.0,23,left,stay,1.0,0.5,120.0,130.0,190.0,260.0,154.50455507009508,222.47407091180543,154.50455507009508,222.47407091180543,0.0,0,3.6,0.9856,0.014400000000000003,3.0701066641858343,3.0701066641858343,4.131624510300024,1.0615178461141899,0,1,0,10.0,1.5
19,0,periodic_k=9,0.0,3.0,23,down,stay,1.0,0.5,120.0,120.0,190.0,260.0,150.1846540144004,221.53252326065075,150.00455507009508,220.97407091180543,0.5867747912706759,1,4.8,0.961979756719641,0.03802024328035902,3.1145973354171597,3.1229069044733153,4.146600097101643,1.0236931926283273,0,1,0,10.0,1.5
20,0,periodic_k=9,0.0,3.0,23,left,left,1.0,0.5,110.0,120.0,180.0,260.0,146.1215157066486,219.43280834265934,145.50455507009508,219.47407091180543,0.6183389254034318,2,6.0,0.9396087374178422,0.06039126258215772,3.1574569816990254,3.1611678411054864,4.170064521343798,1.008896680238312,0,1,0,20.0,1.5
21,0,periodic_k=9,0.0,3.0,23,down,stay,1.0,0.5,110.0,110.0,180.0,260.0,141.97645628963974,217.96937488770214,141.00455507009508,217.97407091180543,0.9719125645832452,3,7.2,0.9165131967296877,0.0834868032703123,3.171431366545871,3.1777466325593373,4.154631477688514,0.9768848451291766,0,1,0,10.0,1.5
22,0,periodic_k=9,0.0,3.0,23,left,left,1.0,0.5,100.0,110.0,170.0,260.0,138.67755596707002,216.32162166470718,136.50455507009508,216.47407091180543,2.1783419546055476,4,8.4,0.8914987306021376,0.10850126939786248,3.1823796679874214,3.194196958535703,4.148688714116189,0.9544917555804862,0,1,0,20.0,1.5
23,0,periodic_k=9,0.0,3.0,23,down,stay,1.0,0.5,100.0,100.0,170.0,260.0,135.0537892254964,214.01264227588754,132.00455507009508,214.97407091180543,3.197213467447685,5,9.6,0.8669062696982427,0.1330937303017573,3.16561165642109,3.1722605352385234,4.102908083344084,0.9306475481055606,0,1,0,10.0,1.5
24,0,periodic_k=9,0.0,3.0,23,stay,left,1.0,0.5,100.0,100.0,160.0,260.0,130.77282809794474,212.01463373565386,127.50455507009508,213.47407091180543,3.579324720628577,6,10.799999999999999,0.8437465193785857,0.15625348062141428,3.1389132521501195,3.1376990809879026,4.0830572440138315,0.9453581630259289,0,1,0,10.0,1.5
25,0,periodic_k=9,0.0,3.0,23,stay,stay,1.0,0.5,100.0,100.0,160.0,260.0,125.65866293336634,211.0643596430059,123.00455507009508,211.97407091180543,2.8056840774504885,7,11.999999999999998,0.8231872108257364,0.17681278917426357,3.0946823664183842,3.097529145241239,4.0830572440138315,0.9855280987725927,0,1,0,0.0,1.5
26,0,periodic_k=9,0.0,3.0,23,stay,left,1.0,0.5,100.0,100.0,150.0,260.0,120.47046297293574,209.46768291017258,118.50455507009508,210.47407091180543,2.2085313428343936,8,13.199999999999998,0.8022308044786226,0.19776919552137737,3.0705654924275314,3.066303524238009,4.065171878464929,0.9988683542269198,0,1,0,10.0,1.5
27,1,periodic_k=9,1.0,4.0,22,stay,stay,1.0,0.5,100.0,100.0,150.0,260.0,115.47907418259776,208.24482751745174,115.47907418259776,208.24482751745174,0.0,0,3.6,0.9856,0.014400000000000003,3.024811447124958,3.024811447124958,4.065171878464929,1.0403604313399708,0,1,0,0.0,1.5
28,0,periodic_k=9,0.0,4.0,22,stay,left,1.0,0.5,100.0,100.0,140.0,260.0,111.17340725220296,205.22948075608053,110.97907418259776,206.74482751745174,1.5277569011921965,1,4.8,0.9598625469723175,0.04013745302768244,3.002691954563571,2.981329004636301,4.049729983719976,1.0684009790836753,0,1,0,10.0,1.5
29,0,periodic_k=9,0.0,4.0,22,stay,stay,1.0,0.5,100.0,100.0,140.0,260.0,107.1643086190131,203.3029090185818,106.47907418259776,205.24482751745174,2.0592701836094087,2,6.0,0.9363666420868788,0.06363335791312116,2.961763373318396,2.935491672162133,4.049729983719976,1.1142383115578427,0,1,0,0.0,1.5
30,0,periodic_k=9,0.0,4.0,22,stay,left,1.0,0.5,100.0,100.0,130.0,260.0,104.06977159815621,202.421878602201,101.97907418259776,203.74482751745174,2.4741078221827606,3,7.2,0.9131332574000888,0.08686674259991121,2.944087828406902,2.930789910117262,4.037179183454109,1.106389273336847,0,1,0,10.0,1.5
31,0,periodic_k=9,0.0,4.0,22,stay,left,1.0,0.5,100.0,100.0,120.0,260.0,100.23942764947554,199.27509128573243,97.47907418259776,202.24482751745174,4.0544894312466315,4,8.4,0.8872773987796951,0.11272260122030492,2.9277718404061277,2.8873819522777806,4.02790782642567,1.1405258741478894,0,1,0,10.0,1.5
32,0,periodic_k=9,0.0,4.0,22,stay,stay,1.0,0.5,100.0,100.0,120.0,260.0,96.9670266059523,197.82204946220398,92.97907418259776,200.74482751745174,4.944329690784915,5,9.6,0.862975258195734,0.13702474180426605,2.893561289463813,2.8562381170284477,4.02790782642567,1.1716697093972226,0,1,0,0.0,1.5
33,0,periodic_k=9,0.0,4.0,22,stay,left,1.0,0.5,100.0,100.0,110.0,260.0,91.55679368307375,196.55461296542515,88.47907418259776,199.24482751745174,4.087739186830028,6,10.799999999999999,0.8426025868296324,0.15739741317036757,2.8830715271525182,2.843592088414504,4.02221723490641,1.1786251464919064,0,1,0,10.0,1.5
34,0,periodic_k=9,0.0,4.0,22,stay,left,1.0,0.5,100.0,100.0,100.0,260.0,87.96588036681989,193.9749932620785,83.97907418259776,197.74482751745174,5.486918430552558,7,11.999999999999998,0.8171544335312568,0.18284556646874323,2.8745880488820745,2.8133463241038075,4.020298533835088,1.2069522097312801,0,1,0,10.0,1.5
35,0,periodic_k=9,0.0,4.0,22,stay,stay,1.0,0.5,100.0,100.0,100.0,260.0,84.21428622003877,192.26906180854502,79.47907418259776,196.24482751745174,6.182956090062816,8,13.199999999999998,0.7932883487973587,0.20671165120264132,2.848519956840186,2.7835106026634318,4.020298533835088,1.236787931171656,0,1,0,0.0,1.5
36,1,periodic_k=9,1.0,5.0,21,stay,stay,1.0,0.5,100.0,100.0,100.0,260.0,79.34255674032623,190.49611804667296,79.34255674032623,190.49611804667296,0.0,0,3.6,0.9856,0.014400000000000003,2.752079287134613,2.752079287134613,4.020298533835088,1.2682192467004743,0,1,0,0.0,1.5
37,0,periodic_k=9,0.0,5.0,21,stay,left,1.0,0.5,100.0,100.0,90.0,260.0,74.29226538152498,189.14965114957582,74.84255674032623,188.99611804667296,0.5713081421249837,1,4.8,0.9620145566802187,0.03798544331978121,2.749925538995415,2.7530890805724786,4.02221723490641,1.2691281543339317,0,1,0,10.0,1.5
