slot,sync,sync_reason,sync_cost,total_sync_cost,remaining_budget,move_uav1,move_uav2,p_s,p_j,uav1_x,uav1_y,uav2_x,uav2_y,eve_true_x,eve_true_y,eve_est_x,eve_est_y,eve_error,aoi,sigma,twin_quality,twin_badness,pred_r_sec,true_r_sec,r_b,r_e,outage,success,served_user_idx,movement_cost,power_cost
0,1,security_margin,1.0,1.0,25,left,left,1.0,0.5,170.0,260.0,310.0,260.0,233.67096065467024,246.9747248240552,233.67096065467024,246.9747248240552,0.0,0,3.6,0.9856,0.014400000000000003,1.0005420942862193,1.0005420942862193,2.5921862864470895,1.5916441921608702,1,0,0,20.0,1.5
1,1,security_margin,1.0,2.0,24,left,left,1.0,0.5,160.0,260.0,300.0,260.0,228.7610900877238,244.83865363786745,228.7610900877238,244.83865363786745,0.0,0,3.6,0.9856,0.014400000000000003,1.1374149349700806,1.1374149349700806,2.6317639143679745,1.494348979397894,1,0,0,20.0,1.5
2,1,security_margin,1.0,3.0,23,left,left,1.0,0.5,150.0,260.0,290.0,260.0,222.86680333993885,244.0187897252578,222.86680333993885,244.0187897252578,0.0,0,3.6,0.9856,0.014400000000000003,1.2454369297598133,1.2454369297598133,2.6640780631681165,1.4186411334083031,1,0,0,20.0,1.5
3,1,security_margin,1.0,4.0,22,left,left,1.0,0.5,140.0,260.0,280.0,260.0,218.37846345034208,242.66280166672058,218.37846345034208,242.66280166672058,0.0,0,3.6,0.9856,0.014400000000000003,1.3672295908277052,1.3672295908277052,2.688257752650636,1.321028161822931,1,0,0,20.0,1.5
4,1,security_margin,1.0,5.0,21,left,left,1.0,0.5,130.0,260.0,270.0,260.0,213.32994703678816,242.02135028722074,213.32994703678816,242.02135028722074,0.0,0,3.6,0.9856,0.014400000000000003,1.4658002934413492,1.4658002934413492,2.703533783291671,1.2377334898503216,1,0,0,20.0,1.5
5,1,security_margin,1.0,6.0,20,down,left,1.0,0.5,130.0,250.0,260.0,260.0,209.49018744116276,240.43607357017936,209.49018744116276,240.43607357017936,0.0,0,3.6,0.9856,0.014400000000000003,1.5697163283614082,1.5697163283614082,2.817026437650627,1.247310109289219,1,0,0,20.0,1.5
6,1,security_margin,1.0,7.0,19,down,left,1.0,0.5,130.0,240.0,250.0,260.0,204.60108302063117,238.68638960133836,204.60108302063117,238.68638960133836,0.0,0,3.6,0.9856,0.014400000000000003,1.6638807301656227,1.6638807301656227,2.9333675868407605,1.2694868566751378,1,0,0,20.0,1.5
7,1,security_margin,1.0,8.0,18,down,left,1.0,0.5,130.0,230.0,240.0,260.0,199.5420451409339,237.20498450580675,199.5420451409339,237.20498450580675,0.0,0,3.6,0.9856,0.014400000000000003,1.7646858650466788,1.7646858650466788,3.0519037885004496,1.2872179234537708,1,0,0,20.0,1.5
8,1,security_margin,1.0,9.0,17,down,left,1.0,0.5,130.0,220.0,230.0,260.0,194.61072773714352,236.1148642701862,194.61072773714352,236.1148642701862,0.0,0,3.6,0.9856,0.014400000000000003,1.8789961437373073,1.8789961437373073,3.1717213533726936,1.2927252096353863,1,0,0,20.0,1.5
9,1,security_margin,1.0,10.0,16,down,left,1.0,0.5,130.0,210.0,220.0,260.0,189.8590997348824,234.36709432542864,189.8590997348824,234.36709432542864,0.0,0,3.6,0.9856,0.014400000000000003,2.000918415622812,2.000918415622812,3.2915792688245595,1.2906608532017474,1,0,0,20.0,1.5
10,1,security_margin,1.0,11.0,15,down,left,1.0,0.5,130.0,200.0,210.0,260.0,186.43517683782378,232.3590906596422,186.43517683782378,232.3590906596422,0.0,0,3.6,0.9856,0.014400000000000003,2.142170133589836,2.142170133589836,3.4098378210143068,1.2676676874244706,1,0,0,20.0,1.5
11,1,security_margin,1.0,12.0,14,down,stay,1.0,0.5,130.0,190.0,210.0,260.0,180.83763571626196,231.1154412943274,180.83763571626196,231.1154412943274,0.0,0,3.6,0.9856,0.014400000000000003,2.253713900980838,2.253713900980838,3.5468047845704467,1.2930908835896087,1,0,0,10.0,1.5
12,1,security_margin,1.0,13.0,13,down,left,1.0,0.5,130.0,180.0,200.0,260.0,174.8831277582754,229.80050633940542,174.8831277582754,229.80050633940542,0.0,0,3.6,0.9856,0.014400000000000003,2.387714191596185,2.387714191596185,3.6550089316949195,1.2672947400987344,0,1,0,20.0,1.5
13,1,security_margin,1.0,14.0,12,down,stay,1.0,0.5,130.0,170.0,200.0,260.0,171.07033185760025,228.3495868609333,171.07033185760025,228.3495868609333,0.0,0,3.6,0.9856,0.014400000000000003,2.525300446360692,2.525300446360692,3.775934098118005,1.250633651757313,0,1,0,10.0,1.5
14,0,security_margin,0.0,14.0,12,down,stay,1.0,0.5,130.0,160.0,200.0,260.0,166.57682440960758,225.4141603143586,166.57033185760025,226.8495868609333,1.4354412296722239,1,4.8,0.9600702572332375,0.039929742766762505,2.649466081177156,2.6310479176383725,3.8831690540163653,1.2521211363779927,0,1,0,10.0,1.5
15,0,security_margin,0.0,14.0,12,down,left,1.0,0.5,130.0,150.0,190.0,260.0,162.46553698949873,224.19156511143123,162.07033185760025,225.3495868609333,1.223601842348534,2,6.0,0.9382468958547158,0.0617531041452842,2.784495494293129,2.7721322016290744,3.949743173310192,1.1776109716811178,0,1,0,20.0,1.5
