slot,sync,sync_reason,sync_cost,total_sync_cost,remaining_budget,move_uav1,move_uav2,p_s,p_j,uav1_x,uav1_y,uav2_x,uav2_y,eve_true_x,eve_true_y,eve_est_x,eve_est_y,eve_error,aoi,sigma,twin_quality,twin_badness,pred_r_sec,true_r_sec,r_b,r_e,outage,success,served_user_idx,movement_cost,power_cost
0,0,security_risk,0.0,0.0,26,left,left,1.0,0.5,170.0,260.0,310.0,260.0,233.67096065467024,246.9747248240552,233.5,246.5,0.5045703162290711,1,4.8,0.9621647167884846,0.037835283211515414,0.9974694666786714,1.0005420942862193,2.5921862864470895,1.5916441921608702,1,0,0,20.0,1.5
1,0,security_risk,0.0,0.0,26,left,left,1.0,0.5,160.0,260.0,300.0,260.0,228.7610900877238,244.83865363786745,229.0,245.0,0.28828908192511976,2,6.0,0.9403513495656685,0.05964865043433152,1.1418237170558496,1.1374149349700806,2.6317639143679745,1.494348979397894,1,0,0,20.0,1.5
2,0,security_risk,0.0,0.0,26,left,left,1.0,0.5,150.0,260.0,290.0,260.0,222.86680333993885,244.0187897252578,224.5,243.5,1.7136143409378708,3,7.2,0.9148443677328898,0.0851556322671102,1.2748883248489553,1.2454369297598133,2.6640780631681165,1.4186411334083031,1,0,0,20.0,1.5
3,0,security_risk,0.0,0.0,26,left,left,1.0,0.5,140.0,260.0,280.0,260.0,218.37846345034208,242.66280166672058,220.0,242.0,1.7517667742265488,4,8.4,0.8924585247579903,0.10754147524200973,1.3949111051851315,1.3672295908277052,2.688257752650636,1.321028161822931,1,0,0,20.0,1.5
4,0,security_risk,0.0,0.0,26,left,left,1.0,0.5,130.0,260.0,270.0,260.0,213.32994703678816,242.02135028722074,215.5,240.5,2.65021443652606,5,9.6,0.8681370175178164,0.13186298248218364,1.500414696029543,1.4658002934413492,2.703533783291671,1.2377334898503216,1,0,0,20.0,1.5
5,0,security_risk,0.0,0.0,26,down,left,1.0,0.5,130.0,250.0,260.0,260.0,209.49018744116276,240.43607357017936,211.0,239.0,2.0837085357099125,6,10.799999999999999,0.8471116557946528,0.1528883442053473,1.5915642705731967,1.5697163283614082,2.817026437650627,1.247310109289219,1,0,0,20.0,1.5
6,0,security_risk,0.0,0.0,26,down,left,1.0,0.5,130.0,240.0,250.0,260.0,204.60108302063117,238.68638960133836,206.5,237.5,2.239063639269563,7,11.999999999999998,0.8244621068116436,0.1755378931883565,1.6899796210272553,1.6638807301656227,2.9333675868407605,1.2694868566751378,1,0,0,20.0,1.5
7,0,security_risk,0.0,0.0,26,down,left,1.0,0.5,130.0,230.0,240.0,260.0,199.5420451409339,237.20498450580675,202.0,236.0,2.737431231728196,8,13.199999999999998,0.8010407797286117,0.1989592202713884,1.796100936393726,1.7646858650466788,3.0519037885004496,1.2872179234537708,1,0,0,20.0,1.5
8,0,security_risk,0.0,0.0,26,down,left,1.0,0.5,130.0,220.0,230.0,260.0,194.61072773714352,236.1148642701862,197.5,234.5,3.309936679158043,9,14.399999999999997,0.7774526424718944,0.2225473575281056,1.9099730370508528,1.8789961437373073,3.1717213533726936,1.2927252096353863,1,0,0,20.0,1.5
9,0,security_risk,0.0,0.0,26,down,left,1.0,0.5,130.0,210.0,220.0,260.0,189.8590997348824,234.36709432542864,193.0,233.0,3.4255220580278043,10,15.599999999999996,0.7548925753694374,0.24510742463056254,2.03104660246143,2.000918415622812,3.2915792688245595,1.2906608532017474,1,0,0,20.0,1.5
