slot,sync,sync_reason,sync_cost,total_sync_cost,remaining_budget,move_uav1,move_uav2,p_s,p_j,uav1_x,uav1_y,uav2_x,uav2_y,eve_true_x,eve_true_y,eve_est_x,eve_est_y,eve_error,aoi,sigma,twin_quality,twin_badness,pred_r_sec,true_r_sec,r_b,r_e,outage,success,served_user_idx,movement_cost,power_cost
0,0,aoi_thr=5,0.0,0.0,28,left,left,1.0,0.5,170.0,260.0,310.0,260.0,231.1567701863154,248.08184411171223,230.0,248.0,1.1596619001114759,1,5.15,0.9592907607247492,0.04070923927525082,0.6795398854193477,0.7019502673049798,2.3143780095271116,1.6124277422221318,1,0,0,20.0,1.5
1,0,aoi_thr=5,0.0,0.0,28,left,left,1.0,0.5,160.0,260.0,300.0,260.0,226.4181724085267,246.9910140274262,225.0,246.0,1.730121898266668,2,6.5,0.9351072257289,0.0648927742711,0.8172935189061026,0.8437562380655919,2.3548432485162114,1.5110870104506195,1,0,0,20.0,1.5
2,0,aoi_thr=5,0.0,0.0,28,left,left,1.0,0.5,150.0,260.0,290.0,260.0,222.07756755714107,245.45417923578205,220.0,244.0,2.535926695364983,3,7.85,0.9103941649354288,0.0896058350645712,0.9451872797578853,0.9828591651167535,2.388326430970797,1.4054672658540435,1,0,0,20.0,1.5
3,0,aoi_thr=5,0.0,0.0,28,left,left,1.0,0.5,140.0,260.0,280.0,260.0,216.77423109016448,242.63908039511017,215.0,242.0,1.8858207000455798,4,9.2,0.8889569034248974,0.11104309657510254,1.0615024740658643,1.0926058160433643,2.4139407009057647,1.3213348848624005,1,0,0,20.0,1.5
4,0,aoi_thr=5,0.0,0.0,28,left,left,1.0,0.5,130.0,260.0,270.0,260.0,212.07516620711908,240.2295127874711,210.0,240.0,2.0878196537971734,5,10.549999999999999,0.8656024057789564,0.13439759422104364,1.1647570593046788,1.1993551234390274,2.430900232668215,1.2315451092291878,1,0,0,20.0,1.5
5,1,aoi_thr=5,1.0,1.0,27,left,left,1.0,0.5,120.0,260.0,260.0,260.0,207.73695409951833,238.3985163459117,207.73695409951833,238.3985163459117,0.0,0,3.8,0.9848,0.0152,1.2967351517140486,1.2967351517140486,2.438568155329287,1.1418330036152382,1,0,0,20.0,1.5
6,0,aoi_thr=5,0.0,1.0,27,down,left,1.0,0.5,120.0,250.0,250.0,260.0,202.14071861818783,236.61269655618463,202.73695409951833,236.3985163459117,0.6335376166179587,1,5.15,0.9604745403626096,0.03952545963739041,1.3776373347664093,1.3687880465741649,2.553993996226349,1.1852059496521843,1,0,0,20.0,1.5
7,0,aoi_thr=5,0.0,1.0,27,down,left,1.0,0.5,120.0,240.0,240.0,260.0,197.7080629980314,234.75471264920972,197.73695409951833,234.3985163459117,0.35736606194251674,2,6.5,0.9381959263606293,0.06180407363937066,1.464960513742165,1.4655332780598815,2.6730716841547304,1.2075384060948489,1,0,0,20.0,1.5
8,0,aoi_thr=5,0.0,1.0,27,down,left,1.0,0.5,120.0,230.0,230.0,260.0,192.08200771967375,232.96457584894821,192.73695409951833,232.3985163459117,0.86566628757822,3,7.85,0.914152250852949,0.085847749147051,1.5593817522623792,1.5521919962740893,2.7951976132382694,1.24300561696418,1,0,0,20.0,1.5
9,0,aoi_thr=5,0.0,1.0,27,down,left,1.0,0.5,120.0,220.0,220.0,260.0,187.36760908345082,231.62400574972938,187.73695409951833,230.3985163459117,1.279937506194468,4,9.2,0.8903201406110625,0.10967985938893754,1.6613340882667955,1.6632716773996672,2.919495741500019,1.256224064100352,1,0,0,20.0,1.5
10,0,aoi_thr=5,0.0,1.0,27,down,left,1.0,0.5,120.0,210.0,210.0,260.0,182.94523662157818,228.89739973935525,182.73695409951833,228.3985163459117,0.5406165454824348,5,10.549999999999999,0.8690836127726645,0.13091638722733548,1.770800399259963,1.7771283719959667,3.0447412882193046,1.2676129162233378,1,0,0,20.0,1.5
11,1,aoi_thr=5,1.0,2.0,26,down,left,1.0,0.5,120.0,200.0,200.0,260.0,177.5470195366158,227.3819702417179,177.5470195366158,227.3819702417179,0.0,0,3.8,0.9848,0.0152,1.8936297132060567,1.8936297132060567,3.169276631711495,1.2756469185054384,1,0,0,20.0,1.5
12,0,aoi_thr=5,0.0,2.0,26,down,stay,1.0,0.5,120.0,190.0,200.0,260.0,171.1888766549484,226.0037532905038,172.5470195366158,225.3819702417179,1.4937088895703048,1,5.15,0.9585391549984668,0.041460845001533186,2.0027229094843166,1.9931815248680564,3.311031717957185,1.3178501930891287,1,0,0,10.0,1.5
13,0,aoi_thr=5,0.0,2.0,26,down,left,1.0,0.5,120.0,180.0,190.0,260.0,165.51731674428038,223.66633277539626,167.5470195366158,223.3819702417179,2.049525670923446,2,6.5,0.9343885672404222,0.06561143275957776,2.1357997235497557,2.1184270431758705,3.426774613291537,1.3083475701156666,1,0,0,20.0,1.5
14,0,aoi_thr=5,0.0,2.0,26,down,stay,1.0,0.5,120.0,170.0,190.0,260.0,161.6719886916797,221.61474646513474,162.5470195366158,221.3819702417179,0.9054632790885554,3,7.85,0.9140627076220508,0.08593729237794925,2.254119705831851,2.248395318346239,3.5531389279531775,1.3047436096069385,1,0,0,10.0,1.5
15,0,aoi_thr=5,0.0,2.0,26,down,stay,1.0,0.5,120.0,160.0,190.0,260.0,156.43048537561492,219.83987694767652,157.5470195366158,219.3819702417179,1.2067837768398333,4,9.2,0.8904847365021104,0.10951526349788962,2.367228723224824,2.3627725796394987,3.6656868872611716,1.3029143076216727,1,0,0,10.0,1.5
16,0,aoi_thr=5,0.0,2.0,26,down,left,1.0,0.5,120.0,150.0,180.0,260.0,151.35532945522345,217.33914973088102,152.5470195366158,217.3819702417179,1.1924591591485398,5,10.549999999999999,0.8676169668919158,0.1323830331080842,2.4935225970976687,2.483488515123417,3.739561206109526,1.2560726909861089,1,0,0,20.0,1.5
17,1,aoi_thr=5,1.0,3.0,25,down,stay,1.0,0.5,120.0,140.0,180.0,260.0,146.55521549151925,217.04861359802507,146.55521549151925,217.04861359802507,0.0,0,3.8,0.9848,0.0152,2.601036986792806,2.601036986792806,3.810674370910519,1.209637384117713,0,1,0,10.0,1.5
18,0,aoi_thr=5,0.0,3.0,25,down,left,1.0,0.5,120.0,130.0,170.0,260.0,142.29092008010866,215.39893818492044,141.55521549151925,215.04861359802507,0.814854930558151,1,5.15,0.9600665764062442,0.039933423593755846,2.6927330218722365,2.70216208786366,3.8356003680553967,1.133438280191737,0,1,0,20.0,1.5
19,0,aoi_thr=5,0.0,3.0,25,down,stay,1.0,0.5,120.0,120.0,170.0,260.0,137.49674744502903,214.03716944074367,136.55521549151925,213.04861359802507,1.3651831648731314,2,6.5,0.9359283378790355,0.06407166212096455,2.739296650158354,2.7588461947649585,3.8506918676123196,1.0918456728473611,0,1,0,10.0,1.5
20,0,aoi_thr=5,0.0,3.0,25,down,stay,1.0,0.5,120.0,110.0,170.0,260.0,132.99601795045555,211.3517809630392,131.55521549151925,211.04861359802507,1.4723525993750652,3,7.85,0.9127872066514061,0.0872127933485939,2.7571085446558063,2.7690956429226334,3.8356003680553967,1.0665047251327635,0,1,0,10.0,1.5
21,0,aoi_thr=5,0.0,3.0,25,left,left,1.0,0.5,110.0,110.0,160.0,260.0,128.40166433101683,209.393571300231,126.55521549151925,209.04861359802507,1.8783953612573598,4,9.2,0.8889736104371709,0.11102638956282905,2.7822026618855897,2.7969198718257178,3.8631491000007783,1.0662292281750605,0,1,0,20.0,1.5
22,0,aoi_thr=5,0.0,3.0,25,down,stay,1.0,0.5,110.0,100.0,160.0,260.0,124.77434967665143,207.22471047395103,121.55521549151925,207.04861359802507,3.2239471167495113,5,10.549999999999999,0.8630461189873136,0.13695388101268638,2.769338515105453,2.7879234608636905,3.8174412344094155,1.0295177735457253,0,1,0,10.0,1.5
23,1,aoi_thr=5,1.0,4.0,24,left,left,1.0,0.5,100.0,100.0,150.0,260.0,120.775759114853,204.3001626010143,120.775759114853,204.3001626010143,0.0,0,3.8,0.9848,0.0152,2.773995416410424,2.773995416410424,3.8161144254796517,1.0421190090692276,0,1,0,20.0,1.5
24,0,aoi_thr=5,0.0,4.0,24,stay,stay,1.0,0.5,100.0,100.0,150.0,260.0,116.02608925479399,201.7310099836044,115.775759114853,202.3001626010143,0.6217715664674827,1,5.15,0.9605010139754482,0.03949898602455184,2.7193672491133443,2.711993981182013,3.8161144254796517,1.1041204442976387,0,1,0,0.0,1.5
25,0,aoi_thr=5,0.0,4.0,24,stay,left,1.0,0.5,100.0,100.0,140.0,260.0,110.32418620956153,200.3592681634353,110.775759114853,200.3001626010143,0.45542458904025135,2,6.5,0.9379752946746595,0.062024705325340566,2.6857762930463083,2.68480985998455,3.801929246582033,1.1171193865974833,0,1,0,10.0,1.5
26,0,aoi_thr=5,0.0,4.0,24,stay,left,1.0,0.5,100.0,100.0,130.0,260.0,104.53767196906941,198.24878046876867,105.775759114853,198.3001626010143,1.2391528977768147,3,7.85,0.9133119059800021,0.08668809401999783,2.6534635567570883,2.6486162915481497,3.7903849690348097,1.14176867748666,0,1,0,10.0,1.5
27,0,aoi_thr=5,0.0,4.0,24,stay,stay,1.0,0.5,100.0,100.0,130.0,260.0,98.97608478011172,196.565517162802,100.775759114853,196.3001626010143,1.8191318683888797,4,9.2,0.889106953296125,0.11089304670387497,2.604526880218315,2.6029780827281317,3.7903849690348097,1.187406886306678,0,1,0,0.0,1.5
