slot,sync,sync_reason,sync_cost,total_sync_cost,remaining_budget,move_uav1,move_uav2,p_s,p_j,uav1_x,uav1_y,uav2_x,uav2_y,eve_true_x,eve_true_y,eve_est_x,eve_est_y,eve_error,aoi,sigma,twin_quality,twin_badness,pred_r_sec,true_r_sec,r_b,r_e,outage,success,served_user_idx,movement_cost,power_cost
0,1,decoupled_periodic_k=7,1.0,1.0,27,left,left,1.0,0.5,170.0,260.0,310.0,260.0,230.24377366380355,247.1680127150076,230.24377366380355,247.1680127150076,0.0,0,3.8,0.9848,0.0152,0.6847827376480247,0.6847827376480247,2.3143780095271116,1.629595271879087,1,0,0,20.0,1.5
1,0,decoupled_periodic_k=7,0.0,1.0,27,left,left,1.0,0.5,160.0,260.0,300.0,260.0,225.84413462044873,245.92046448812056,225.24377366380355,245.1680127150076,0.9626094478680113,1,5.15,0.959734128742297,0.04026587125770303,0.8223262810127938,0.8333424276263381,2.3548432485162114,1.5215008208898733,1,0,0,20.0,1.5
2,0,decoupled_periodic_k=7,0.0,1.0,27,left,left,1.0,0.5,150.0,260.0,290.0,260.0,219.28330646952566,242.87872088263072,220.24377366380355,243.1680127150076,1.003088727662725,2,6.5,0.9367430503627588,0.06325694963724113,0.9499336675827403,0.9323692935109258,2.388326430970797,1.4559571374598712,1,0,0,20.0,1.5
3,0,decoupled_periodic_k=7,0.0,1.0,27,left,left,1.0,0.5,140.0,260.0,280.0,260.0,214.38557879205948,240.62572680875584,215.24377366380355,241.1680127150076,1.0151711392701777,3,7.85,0.9138158649366421,0.0861841350633579,1.0658993073878884,1.0508297914178615,2.4139407009057647,1.3631109094879033,1,0,0,20.0,1.5
4,0,decoupled_periodic_k=7,0.0,1.0,27,left,left,1.0,0.5,130.0,260.0,270.0,260.0,209.37213786605605,237.94329166669698,210.24377366380355,239.1680127150076,1.5032267327618845,4,9.2,0.8898177398512858,0.11018226014871423,1.1687550505461923,1.154005135097368,2.430900232668215,1.2768950975708473,1,0,0,20.0,1.5
5,0,decoupled_periodic_k=7,0.0,1.0,27,left,left,1.0,0.5,120.0,260.0,260.0,260.0,205.0756562459463,236.56552521504014,205.24377366380355,237.1680127150076,0.6255035202171279,5,10.549999999999999,0.8688926170795115,0.1311073829204885,1.2573248828936299,1.2544472000977243,2.438568155329287,1.1841209552315626,1,0,0,20.0,1.5
6,0,decoupled_periodic_k=7,0.0,1.0,27,down,left,1.0,0.5,120.0,250.0,250.0,260.0,200.12848080399527,235.46731818061457,200.24377366380355,235.1680127150076,0.3207432076677241,6,11.899999999999999,0.8466783277827477,0.15332167221725237,1.3369696163330478,1.3355994285786177,2.553993996226349,1.2183945676477315,1,0,0,20.0,1.5
7,1,decoupled_periodic_k=7,1.0,2.0,26,down,left,1.0,0.5,120.0,240.0,240.0,260.0,195.5024882777969,232.77988421030798,195.5024882777969,232.77988421030798,0.0,0,3.8,0.9848,0.0152,1.4262675911641993,1.4262675911641993,2.6730716841547304,1.246804092990531,1,0,0,20.0,1.5
8,0,decoupled_periodic_k=7,0.0,2.0,26,down,left,1.0,0.5,120.0,230.0,230.0,260.0,190.79748890506292,230.01277812964477,190.5024882777969,230.77988421030798,0.8218741443054468,1,5.15,0.9600507831753128,0.03994921682468726,1.5194644538280877,1.5206160797634523,2.7951976132382694,1.2745815334748172,1,0,0,20.0,1.5
9,0,decoupled_periodic_k=7,0.0,2.0,26,down,left,1.0,0.5,120.0,220.0,220.0,260.0,186.50024914610873,227.97283740085578,185.5024882777969,228.77988421030798,1.2832970439385134,2,6.5,0.9361125816511383,0.06388741834886166,1.6205736500450154,1.6300303330498755,2.919495741500019,1.2894654084501436,1,0,0,20.0,1.5
10,0,decoupled_periodic_k=7,0.0,2.0,26,down,left,1.0,0.5,120.0,210.0,210.0,260.0,181.35235925527252,225.42809376533262,180.5024882777969,226.77988421030798,1.5967523557151972,3,7.85,0.9125073071996408,0.0874926928003592,1.7296667829442756,1.7308469214084528,3.0447412882193046,1.3138943668108518,1,0,0,20.0,1.5
11,0,decoupled_periodic_k=7,0.0,2.0,26,down,left,1.0,0.5,120.0,200.0,200.0,260.0,177.33039232621175,223.30447017967757,175.5024882777969,224.77988421030798,2.3490593376908224,4,9.2,0.8879146164901957,0.11208538350980435,1.8461147549893413,1.8545818134171743,3.169276631711495,1.3146948182943208,1,0,0,20.0,1.5
12,0,decoupled_periodic_k=7,0.0,2.0,26,down,down,1.0,0.5,120.0,190.0,200.0,250.0,171.98773006848126,221.022763339287,170.5024882777969,222.77988421030798,2.3007426914309175,5,10.549999999999999,0.8651233289442805,0.13487667105571954,1.9712981255546733,1.9732347273271178,3.281903200101898,1.3086684727747802,1,0,0,20.0,1.5
13,0,decoupled_periodic_k=7,0.0,2.0,26,down,left,1.0,0.5,120.0,180.0,190.0,250.0,167.41357741692394,219.31511859077827,165.5024882777969,220.77988421030798,2.407862126004219,6,11.899999999999999,0.8419823102164905,0.1580176897835095,2.104129560406842,2.1086862608648493,3.3944881740166806,1.2858019131518312,1,0,0,20.0,1.5
14,1,decoupled_periodic_k=7,1.0,3.0,25,down,stay,1.0,0.5,120.0,170.0,190.0,250.0,162.74376350620074,217.6597753931846,162.74376350620074,217.6597753931846,0.0,0,3.8,0.9848,0.0152,2.2307075591474748,2.2307075591474748,3.520571734500321,1.2898641753528461,1,0,0,10.0,1.5
15,0,decoupled_periodic_k=7,0.0,3.0,25,down,stay,1.0,0.5,120.0,160.0,190.0,250.0,159.45708158689712,215.3346433800769,157.74376350620074,215.6597753931846,1.7438949714901395,1,5.15,0.9579762363141472,0.04202376368585281,2.34072424392324,2.3535327267839965,3.6328894819241513,1.2793567551401548,1,0,0,10.0,1.5
16,0,decoupled_periodic_k=7,0.0,3.0,25,down,left,1.0,0.5,120.0,150.0,180.0,250.0,154.0472874036399,212.6836251974786,152.74376350620074,213.6597753931846,1.6285096732202249,2,6.5,0.9353358532352545,0.0646641467647455,2.4629796607980685,2.460447621988953,3.703593908070326,1.2431462860813733,1,0,0,20.0,1.5
