slot,sync,sync_reason,sync_cost,total_sync_cost,remaining_budget,move_uav1,move_uav2,p_s,p_j,uav1_x,uav1_y,uav2_x,uav2_y,eve_true_x,eve_true_y,eve_est_x,eve_est_y,eve_error,aoi,sigma,twin_quality,twin_badness,pred_r_sec,true_r_sec,r_b,r_e,outage,success,served_user_idx,movement_cost,power_cost
0,1,security_margin,1.0,1.0,27,left,left,1.0,0.5,170.0,260.0,310.0,260.0,230.24377366380355,247.1680127150076,230.24377366380355,247.1680127150076,0.0,0,3.8,0.9848,0.0152,0.6847827376480247,0.6847827376480247,2.3143780095271116,1.629595271879087,1,0,0,20.0,1.5
1,1,security_margin,1.0,2.0,26,left,left,1.0,0.5,160.0,260.0,300.0,260.0,225.84413462044873,245.92046448812056,225.84413462044873,245.92046448812056,0.0,0,3.8,0.9848,0.0152,0.8333424276263381,0.8333424276263381,2.3548432485162114,1.5215008208898733,1,0,0,20.0,1.5
2,1,security_margin,1.0,3.0,25,left,left,1.0,0.5,150.0,260.0,290.0,260.0,219.28330646952566,242.87872088263072,219.28330646952566,242.87872088263072,0.0,0,3.8,0.9848,0.0152,0.9323692935109258,0.9323692935109258,2.388326430970797,1.4559571374598712,1,0,0,20.0,1.5
3,1,security_margin,1.0,4.0,24,left,left,1.0,0.5,140.0,260.0,280.0,260.0,214.38557879205948,240.62572680875584,214.38557879205948,240.62572680875584,0.0,0,3.8,0.9848,0.0152,1.0508297914178615,1.0508297914178615,2.4139407009057647,1.3631109094879033,1,0,0,20.0,1.5
4,1,security_margin,1.0,5.0,23,left,left,1.0,0.5,130.0,260.0,270.0,260.0,209.37213786605605,237.94329166669698,209.37213786605605,237.94329166669698,0.0,0,3.8,0.9848,0.0152,1.154005135097368,1.154005135097368,2.430900232668215,1.2768950975708473,1,0,0,20.0,1.5
5,1,security_margin,1.0,6.0,22,left,left,1.0,0.5,120.0,260.0,260.0,260.0,205.0756562459463,236.56552521504014,205.0756562459463,236.56552521504014,0.0,0,3.8,0.9848,0.0152,1.2544472000977243,1.2544472000977243,2.438568155329287,1.1841209552315626,1,0,0,20.0,1.5
6,1,security_margin,1.0,7.0,21,down,left,1.0,0.5,120.0,250.0,250.0,260.0,200.12848080399527,235.46731818061457,200.12848080399527,235.46731818061457,0.0,0,3.8,0.9848,0.0152,1.3355994285786177,1.3355994285786177,2.553993996226349,1.2183945676477315,1,0,0,20.0,1.5
7,1,security_margin,1.0,8.0,20,down,left,1.0,0.5,120.0,240.0,240.0,260.0,195.5024882777969,232.77988421030798,195.5024882777969,232.77988421030798,0.0,0,3.8,0.9848,0.0152,1.4262675911641993,1.4262675911641993,2.6730716841547304,1.246804092990531,1,0,0,20.0,1.5
8,1,security_margin,1.0,9.0,19,down,left,1.0,0.5,120.0,230.0,230.0,260.0,190.79748890506292,230.01277812964477,190.79748890506292,230.01277812964477,0.0,0,3.8,0.9848,0.0152,1.5206160797634523,1.5206160797634523,2.7951976132382694,1.2745815334748172,1,0,0,20.0,1.5
9,1,security_margin,1.0,10.0,18,down,left,1.0,0.5,120.0,220.0,220.0,260.0,186.50024914610873,227.97283740085578,186.50024914610873,227.97283740085578,0.0,0,3.8,0.9848,0.0152,1.6300303330498755,1.6300303330498755,2.919495741500019,1.2894654084501436,1,0,0,20.0,1.5
10,1,security_margin,1.0,11.0,17,down,left,1.0,0.5,120.0,210.0,210.0,260.0,181.35235925527252,225.42809376533262,181.35235925527252,225.42809376533262,0.0,0,3.8,0.9848,0.0152,1.7308469214084528,1.7308469214084528,3.0447412882193046,1.3138943668108518,1,0,0,20.0,1.5
11,1,security_margin,1.0,12.0,16,down,left,1.0,0.5,120.0,200.0,200.0,260.0,177.33039232621175,223.30447017967757,177.33039232621175,223.30447017967757,0.0,0,3.8,0.9848,0.0152,1.8545818134171743,1.8545818134171743,3.169276631711495,1.3146948182943208,1,0,0,20.0,1.5
12,1,security_margin,1.0,13.0,15,down,down,1.0,0.5,120.0,190.0,200.0,250.0,171.98773006848126,221.022763339287,171.98773006848126,221.022763339287,0.0,0,3.8,0.9848,0.0152,1.9732347273271178,1.9732347273271178,3.281903200101898,1.3086684727747802,1,0,0,20.0,1.5
13,1,security_margin,1.0,14.0,14,down,stay,1.0,0.5,120.0,180.0,200.0,250.0,167.41357741692394,219.31511859077827,167.41357741692394,219.31511859077827,0.0,0,3.8,0.9848,0.0152,2.089453243139078,2.089453243139078,3.417655217065672,1.328201973926594,1,0,0,10.0,1.5
14,1,security_margin,1.0,15.0,13,down,left,1.0,0.5,120.0,170.0,190.0,250.0,162.74376350620074,217.6597753931846,162.74376350620074,217.6597753931846,0.0,0,3.8,0.9848,0.0152,2.2307075591474748,2.2307075591474748,3.520571734500321,1.2898641753528461,1,0,0,20.0,1.5
15,1,security_margin,1.0,16.0,12,down,stay,1.0,0.5,120.0,160.0,190.0,250.0,159.45708158689712,215.3346433800769,159.45708158689712,215.3346433800769,0.0,0,3.8,0.9848,0.0152,2.3535327267839965,2.3535327267839965,3.6328894819241513,1.2793567551401548,1,0,0,10.0,1.5
16,1,security_margin,1.0,17.0,11,down,left,1.0,0.5,120.0,150.0,180.0,250.0,154.0472874036399,212.6836251974786,154.0472874036399,212.6836251974786,0.0,0,3.8,0.9848,0.0152,2.460447621988953,2.460447621988953,3.703593908070326,1.2431462860813733,1,0,0,20.0,1.5
17,1,security_margin,1.0,18.0,10,down,stay,1.0,0.5,120.0,140.0,180.0,250.0,149.5400709417003,211.5868030316553,149.5400709417003,211.5868030316553,0.0,0,3.8,0.9848,0.0152,2.5644482997082787,2.5644482997082787,3.7745653157998698,1.210117016091591,0,1,0,10.0,1.5
18,1,security_margin,1.0,19.0,9,down,stay,1.0,0.5,120.0,130.0,180.0,250.0,144.4489129755764,208.9146778500853,144.4489129755764,208.9146778500853,0.0,0,3.8,0.9848,0.0152,2.620521302775472,2.620521302775472,3.818883240518971,1.198361937743499,0,1,0,10.0,1.5
19,1,security_margin,1.0,20.0,8,down,left,1.0,0.5,120.0,120.0,170.0,250.0,138.7893280030234,207.43515208034506,138.7893280030234,207.43515208034506,0.0,0,3.8,0.9848,0.0152,2.6868945818208494,2.6868945818208494,3.811465313167398,1.1245707313465485,0,1,0,20.0,1.5
20,0,security_margin,0.0,20.0,8,down,stay,1.0,0.5,120.0,110.0,170.0,250.0,134.38393133998616,205.86967549498922,133.7893280030234,205.43515208034506,0.7364534786402156,1,5.15,0.9602429796730595,0.039757020326940486,2.7038771942339768,2.713338457869975,3.7964049557056234,1.0830664978356483,0,1,0,10.0,1.5
21,1,security_margin,1.0,21.0,7,left,left,1.0,0.5,110.0,110.0,160.0,250.0,128.8515235741552,204.0554045534426,128.8515235741552,204.0554045534426,0.0,0,3.8,0.9848,0.0152,2.736851931651472,2.736851931651472,3.8209478502299716,1.0840959185784997,0,1,0,20.0,1.5
22,0,security_margin,0.0,21.0,7,down,stay,1.0,0.5,110.0,100.0,160.0,250.0,123.94487222146779,202.2303554308258,123.85152357415521,202.0554045534426,0.19829719980937408,1,5.15,0.9614538313004289,0.038546168699571094,2.7233270840463035,2.7262809124645493,3.7753417001413982,1.0490607876768487,0,1,0,10.0,1.5
23,1,security_margin,1.0,22.0,6,left,left,1.0,0.5,100.0,100.0,150.0,250.0,119.64201524382634,200.40923186984554,119.64201524382634,200.40923186984554,0.0,0,3.8,0.9848,0.0152,2.7260677537340636,2.7260677537340636,3.7712690740608528,1.0452013203267891,0,1,0,20.0,1.5
24,0,security_margin,0.0,22.0,6,stay,stay,1.0,0.5,100.0,100.0,150.0,250.0,115.18514609428385,198.46329512543664,114.64201524382634,198.40923186984554,0.5458149469589607,1,5.15,0.9606719163693423,0.039328083630657665,2.67076202724908,2.6744570607932845,3.7712690740608528,1.0968120132675685,0,1,0,0.0,1.5
