slot,sync,sync_reason,sync_cost,total_sync_cost,remaining_budget,move_uav1,move_uav2,p_s,p_j,uav1_x,uav1_y,uav2_x,uav2_y,eve_true_x,eve_true_y,eve_est_x,eve_est_y,eve_error,aoi,sigma,twin_quality,twin_badness,pred_r_sec,true_r_sec,r_b,r_e,outage,success,served_user_idx,movement_cost,power_cost
0,0,security_risk,0.0,0.0,28,left,left,1.0,0.5,170.0,260.0,310.0,260.0,230.24377366380355,247.1680127150076,230.0,248.0,0.8669650751634956,1,5.15,0.9599493285808821,0.04005067141911787,0.6795398854193477,0.6847827376480247,2.3143780095271116,1.629595271879087,1,0,0,20.0,1.5
1,0,security_risk,0.0,0.0,28,left,left,1.0,0.5,160.0,260.0,300.0,260.0,225.84413462044873,245.92046448812056,225.0,246.0,0.8478733131134875,2,6.5,0.9370922850454947,0.06290771495450534,0.8172935189061026,0.8333424276263381,2.3548432485162114,1.5215008208898733,1,0,0,20.0,1.5
2,0,security_risk,0.0,0.0,28,left,left,1.0,0.5,150.0,260.0,290.0,260.0,219.28330646952566,242.87872088263072,220.0,244.0,1.3307578576406078,3,7.85,0.9131057948203086,0.08689420517969138,0.9451872797578853,0.9323692935109258,2.388326430970797,1.4559571374598712,1,0,0,20.0,1.5
3,0,security_risk,0.0,0.0,28,left,left,1.0,0.5,140.0,260.0,280.0,260.0,214.38557879205948,240.62572680875584,215.0,242.0,1.5053704610292749,4,9.2,0.8898129164626841,0.11018708353731586,1.0615024740658643,1.0508297914178615,2.4139407009057647,1.3631109094879033,1,0,0,20.0,1.5
4,0,security_risk,0.0,0.0,28,left,left,1.0,0.5,130.0,260.0,270.0,260.0,209.37213786605605,237.94329166669698,210.0,240.0,2.1504092697713943,5,10.549999999999999,0.8654615791430144,0.1345384208569856,1.1647570593046788,1.154005135097368,2.430900232668215,1.2768950975708473,1,0,0,20.0,1.5
5,0,security_risk,0.0,0.0,28,left,left,1.0,0.5,120.0,260.0,260.0,260.0,205.0756562459463,236.56552521504014,205.0,238.0,1.4364685086128153,6,11.899999999999999,0.8441679458556212,0.15583205414437884,1.2537609606250666,1.2544472000977243,2.438568155329287,1.1841209552315626,1,0,0,20.0,1.5
6,0,security_risk,0.0,0.0,28,down,left,1.0,0.5,120.0,250.0,250.0,260.0,200.12848080399527,235.46731818061457,200.0,236.0,0.5479573320059187,7,13.249999999999998,0.8232670960029866,0.1767329039970133,1.3343635190007404,1.3355994285786177,2.553993996226349,1.2183945676477315,1,0,0,20.0,1.5
7,0,security_risk,0.0,0.0,28,down,left,1.0,0.5,120.0,240.0,240.0,260.0,195.5024882777969,232.77988421030798,195.0,234.0,1.3195366647346642,8,14.599999999999998,0.798631042504347,0.20136895749565298,1.4218926323556291,1.4262675911641993,2.6730716841547304,1.246804092990531,1,0,0,20.0,1.5
8,0,security_risk,0.0,0.0,28,down,left,1.0,0.5,120.0,230.0,230.0,260.0,190.79748890506292,230.01277812964477,190.0,232.0,2.14127049102083,9,15.949999999999998,0.7738821413952032,0.22611785860479686,1.5171091386031859,1.5206160797634523,2.7951976132382694,1.2745815334748172,1,0,0,20.0,1.5
9,0,security_risk,0.0,0.0,28,down,left,1.0,0.5,120.0,220.0,220.0,260.0,186.50024914610873,227.97283740085578,185.0,230.0,2.5219309474625025,10,17.299999999999997,0.7501256553682094,0.2498743446317906,1.6205081188489796,1.6300303330498755,2.919495741500019,1.2894654084501436,1,0,0,20.0,1.5
