slot,sync,sync_reason,sync_cost,total_sync_cost,remaining_budget,move_uav1,move_uav2,p_s,p_j,uav1_x,uav1_y,uav2_x,uav2_y,eve_true_x,eve_true_y,eve_est_x,eve_est_y,eve_error,aoi,sigma,twin_quality,twin_badness,pred_r_sec,true_r_sec,r_b,r_e,outage,success,served_user_idx,movement_cost,power_cost
0,1,periodic_k=4,1.0,1.0,79,down,right,1.0,0.8,180.0,250.0,330.0,260.0,418.0914151239263,298.6880047681278,418.0914151239263,298.6880047681278,0.0,0,2.0,0.992,0.008,2.8166811147779685,2.8166811147779685,3.1820040980446804,0.36532298326671175,0,1,0,20.0,1.8
1,0,periodic_k=4,0.0,1.0,79,down,right,1.0,0.8,180.0,240.0,340.0,260.0,416.3165504826682,297.9701741830452,416.0914151239263,297.6880047681278,0.36097854295047316,1,2.7,0.9708877982783615,0.029112201721638566,2.9817637246306834,2.9814254240917135,3.3111031057844915,0.32967768169277806,0,1,0,20.0,1.8
2,0,periodic_k=4,0.0,1.0,79,down,right,1.0,0.8,180.0,230.0,350.0,260.0,413.7312399260721,296.5795203309865,414.0914151239263,296.6880047681278,0.3761582728735423,2,3.4000000000000004,0.9505536438860346,0.049446356113965466,3.1428721892652027,3.143074481873298,3.4398037076803116,0.29672922580701333,0,1,0,20.0,1.8
3,0,periodic_k=4,0.0,1.0,79,down,right,1.0,0.8,180.0,220.0,360.0,260.0,411.7695920470223,295.4846475532834,412.0914151239263,295.6880047681278,0.3806891772263117,3,4.1000000000000005,0.9302434493512408,0.06975655064875921,3.2984249192610746,3.298611314601154,3.567081059409825,0.26846974480867064,0,1,0,20.0,1.8
4,1,periodic_k=4,1.0,2.0,78,down,right,1.0,0.8,180.0,210.0,370.0,260.0,409.764551699771,294.22873437501136,409.764551699771,294.22873437501136,0.0,0,2.0,0.992,0.008,3.447008020091649,3.447008020091649,3.6916940920407257,0.24468607194907652,0,1,0,20.0,1.8
5,0,periodic_k=4,0.0,2.0,78,down,right,1.0,0.8,180.0,200.0,380.0,260.0,408.02837109222986,293.46207195564006,407.764551699771,293.22873437501136,0.3522032060771379,1,2.7,0.9709075427863264,0.02909245721367356,3.586180366617293,3.5861493213323383,3.8121678384016584,0.22601851706931989,0,1,0,20.0,1.8
6,0,periodic_k=4,0.0,2.0,78,left,right,1.0,0.8,170.0,200.0,390.0,260.0,406.04818030149823,292.80024431773046,405.764551699771,292.22873437501136,0.6380194341433,2,3.4000000000000004,0.9499644562731776,0.05003554372682242,3.722270930714241,3.7221211606109224,3.9267903652844205,0.20466920467349797,0,1,0,20.0,1.8
7,0,periodic_k=4,0.0,2.0,78,down,stay,1.0,0.8,170.0,190.0,390.0,260.0,404.18843310417384,291.5424565788655,403.764551699771,291.22873437501136,0.5273490932860411,3,4.1000000000000005,0.9299134645401064,0.0700865354598936,3.835242173146777,3.8353998357806525,4.035337987876416,0.19993815209576396,0,1,0,10.0,1.8
8,1,periodic_k=4,1.0,3.0,77,left,stay,1.0,0.8,160.0,190.0,390.0,260.0,402.2990583393986,290.2547917986168,402.2990583393986,290.2547917986168,0.0,0,2.0,0.992,0.008,3.9484300305341122,3.9484300305341122,4.136763415416367,0.18833338488225504,0,1,0,10.0,1.8
9,0,periodic_k=4,0.0,3.0,77,down,stay,1.0,0.8,160.0,180.0,390.0,260.0,400.56259342979075,289.2398140253209,400.2990583393986,289.2547917986168,0.2639603711940684,1,2.7,0.9711060891648133,0.028893910835186658,4.061727976031775,4.0619449983056,4.246061270536481,0.18411627223088098,0,1,0,10.0,1.8
