episode_length,total_secrecy_rate,avg_sync_cost,avg_sync_bandwidth,sync_request_rate,avg_sync_applied,avg_pending_syncs,avg_twin_quality,avg_twin_badness,avg_secrecy_rate,avg_realized_loss,avg_margin_gap,avg_cert_slack,certified_safe_rate,certificate_violation_prob,certificate_cover_rate,certificate_in_policy_cover_rate,certificate_empirical_cover_rate,certificate_margin_cover_rate,prediction_violation_prob,outage_prob,success_prob,method,seed,runtime_sec,runtime_per_slot_ms,scenario,config_path
160.0,43.628822962621825,0.11875,0.11875,0.11875,0.10625,0.11875,0.24194148734993753,0.7580585126500626,0.2726801435163864,1.7592951441500304,1.7445541147297319,-8.808192636392198,0.20625,0.79375,0.68125,0.68125,0.68125,0.68125,0.9875,0.875,0.125,full,62,15.304282889000206,95.65176805625129,scenario_stress,configs/scenario_stress.yaml
160.0,166.18081493283853,0.11875,0.11875,0.11875,0.11875,0.11875,0.6928701751525526,0.30712982484744744,1.0386300933302408,0.7032205856019786,0.6946611108712155,0.45355164159946354,0.75625,0.24375,0.15625,0.15625,0.15625,0.15625,0.8625,0.6875,0.3125,periodic,62,15.480668511000204,96.75417819375127,scenario_stress,configs/scenario_stress.yaml
160.0,119.2417657901198,0.11875,0.11875,0.11875,0.1125,0.11875,0.4556725563309086,0.5443274436690915,0.7452610361882488,1.5207991304831316,1.5125750919148646,0.463790623188697,0.725,0.275,0.125,0.125,0.125,0.125,0.9,0.7625,0.2375,aoi_only,62,15.627673816999959,97.67296135624974,scenario_stress,configs/scenario_stress.yaml
160.0,135.35519188566556,0.0339892354008167,0.0339892354008167,0.1125,0.1125,0.1125,0.6721114432634521,0.32788855673654793,0.8459699492854098,0.9103113614964267,0.9094920044387333,0.5336718779783645,0.8125,0.1875,0.0625,0.0625,0.0625,0.0625,0.95625,0.7125,0.2875,security_risk,62,15.46011190399986,96.62569939999912,scenario_stress,configs/scenario_stress.yaml
160.0,111.50082044071655,0.10165052563422275,0.10165052563422275,0.125,0.1125,0.125,0.36690458880007526,0.6330954111999247,0.6968801277544785,1.4674667915402992,1.450131854781565,0.5745612093912419,0.875,0.125,0.075,0.075,0.075,0.075,0.95,0.83125,0.16875,security_margin,62,15.90880639399984,99.430039962499,scenario_stress,configs/scenario_stress.yaml
160.0,166.18081493283853,0.11875,0.11875,0.11875,0.11875,0.11875,0.6928701751525526,0.30712982484744744,1.0386300933302408,0.7032205856019786,0.6946611108712155,0.45355164159946354,0.75625,0.24375,0.15625,0.15625,0.15625,0.15625,0.8625,0.6875,0.3125,decoupled,62,15.689911485000266,98.06194678125166,scenario_stress,configs/scenario_stress.yaml
160.0,0.6544055137789553,0.11875,0.11875,0.20625,0.2,0.20625,0.6140656540124514,0.3859343459875485,0.004090034461118471,0.05951031907951495,0.05951031907951495,-1.3548485515301687,0.0,1.0,0.9125,0.9125,0.9125,0.9125,0.31875,1.0,0.0,random_budgeted,62,1.009331161999853,6.308319762499082,scenario_stress,configs/scenario_stress.yaml
160.0,71.61594241466966,0.0,0.0,0.0,0.0,0.0,0.21760190734502446,0.7823980926549756,0.4475996400916854,1.5031220747655045,1.494655331369628,-1.7284005837608873,0.28125,0.71875,0.59375,0.59375,0.59375,0.59375,0.90625,0.825,0.175,myopic_greedy_no_sync,62,15.465977672999998,96.66236045624998,scenario_stress,configs/scenario_stress.yaml
160.0,148.39278300903968,0.078125,0.078125,0.3125,0.30625,0.3125,0.8330452153511192,0.16695478464888072,0.9274548938064979,0.7059838707722811,0.7027215588311259,0.46876523028651385,0.9875,0.0125,0.075,0.075,0.075,0.075,0.925,0.73125,0.26875,no_twin,62,192.55888490000007,1203.4930306250003,scenario_stress,configs/scenario_stress.yaml
160.0,71.66486772985537,0.0,0.0,0.0,0.0,0.0,0.21914581702184205,0.7808541829781579,0.4479054233115961,1.4973161003333935,1.4883583981480457,-1.7323656433189978,0.26875,0.73125,0.59375,0.59375,0.59375,0.59375,0.9125,0.825,0.175,sca_twin,62,38.898568409999825,243.1160525624989,scenario_stress,configs/scenario_stress.yaml
