method,avg_sync_cost_mean,avg_sync_cost_std,avg_sync_cost_ci95,avg_sync_bandwidth_mean,avg_sync_bandwidth_std,avg_sync_bandwidth_ci95,sync_request_rate_mean,sync_request_rate_std,sync_request_rate_ci95,avg_sync_applied_mean,avg_sync_applied_std,avg_sync_applied_ci95,avg_pending_syncs_mean,avg_pending_syncs_std,avg_pending_syncs_ci95,avg_twin_quality_mean,avg_twin_quality_std,avg_twin_quality_ci95,avg_twin_badness_mean,avg_twin_badness_std,avg_twin_badness_ci95,avg_secrecy_rate_mean,avg_secrecy_rate_std,avg_secrecy_rate_ci95,avg_realized_loss_mean,avg_realized_loss_std,avg_realized_loss_ci95,avg_margin_gap_mean,avg_margin_gap_std,avg_margin_gap_ci95,avg_cert_slack_mean,avg_cert_slack_std,avg_cert_slack_ci95,certified_safe_rate_mean,certified_safe_rate_std,certified_safe_rate_ci95,certificate_violation_prob_mean,certificate_violation_prob_std,certificate_violation_prob_ci95,certificate_cover_rate_mean,certificate_cover_rate_std,certificate_cover_rate_ci95,prediction_violation_prob_mean,prediction_violation_prob_std,prediction_violation_prob_ci95,outage_prob_mean,outage_prob_std,outage_prob_ci95,success_prob_mean,success_prob_std,success_prob_ci95,runtime_sec_mean,runtime_sec_std,runtime_sec_ci95,runtime_per_slot_ms_mean,runtime_per_slot_ms_std,runtime_per_slot_ms_ci95,num_runs
aoi_only,0.25,0.0,0.0,0.25,0.0,0.0,0.25,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.9299709973478458,0.0,0.0,0.0700290026521542,0.0,0.0,2.5436865889550915,0.0,0.0,0.006983774852413749,0.0,0.0,0.006383167246038046,0.0,0.0,1.5955382537447402,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.07531898399975034,0.0,0.0,18.829745999937586,0.0,0.0,1
decoupled,0.5,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.9630279246641203,0.0,0.0,0.036972075335879706,0.0,0.0,2.5436865889550915,0.0,0.0,0.00827662959080655,0.0,0.0,0.004543638910860404,0.0,0.0,1.6193077388753074,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0790497640009562,0.0,0.0,19.76244100023905,0.0,0.0,1
full,0.5,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.9424366608732861,0.0,0.0,0.05756333912671378,0.0,0.0,2.5436865889550915,0.0,0.0,0.03156520244093197,0.0,0.0,0.03156520244093197,0.0,0.0,1.6384981488489867,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.07381234100103029,0.0,0.0,18.453085250257573,0.0,0.0,1
oracle_sync,0.25,0.0,0.0,0.25,0.0,0.0,0.25,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.9299709973478458,0.0,0.0,0.0700290026521542,0.0,0.0,2.5436865889550915,0.0,0.0,0.006983774852413749,0.0,0.0,0.006383167246038046,0.0,0.0,1.5955382537447402,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.4901616079987434,0.0,0.0,122.54040199968586,0.0,0.0,1
periodic,0.5,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.9630279246641203,0.0,0.0,0.036972075335879706,0.0,0.0,2.5436865889550915,0.0,0.0,0.00827662959080655,0.0,0.0,0.004543638910860404,0.0,0.0,1.6193077388753074,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.07608139900185051,0.0,0.0,19.02034975046263,0.0,0.0,1
random_budgeted,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8301404449504111,0.0,0.0,0.169859555049589,0.0,0.0,1.4822482928496308,0.0,0.0,0.004615758614420318,0.0,0.0,0.004615758614420318,0.0,0.0,1.2973532986296608,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.75,0.0,0.0,0.25,0.0,0.0,0.75,0.0,0.0,0.0055506200005766,0.0,0.0,1.38765500014415,0.0,0.0,1
risk_adaptive_hybrid_rollout,0.5,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.9630279246641203,0.0,0.0,0.036972075335879706,0.0,0.0,2.5436865889550915,0.0,0.0,0.00827662959080655,0.0,0.0,0.004543638910860404,0.0,0.0,1.6193077388753074,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.348919523999939,0.0,0.0,87.22988099998474,0.0,0.0,1
rollout_joint,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8355937018463585,0.0,0.0,0.16440629815364152,0.0,0.0,2.5436865889550915,0.0,0.0,0.023930038234284523,0.0,0.0,0.023930038234284523,0.0,0.0,1.548802192157068,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.5090776310025831,0.0,0.0,127.26940775064577,0.0,0.0,1
security_margin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8355937018463585,0.0,0.0,0.16440629815364152,0.0,0.0,2.5436865889550915,0.0,0.0,0.023930038234284523,0.0,0.0,0.023930038234284523,0.0,0.0,1.548802192157068,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.07891036000000895,0.0,0.0,19.727590000002238,0.0,0.0,1
security_risk,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8355937018463585,0.0,0.0,0.16440629815364152,0.0,0.0,2.5436865889550915,0.0,0.0,0.023930038234284523,0.0,0.0,0.023930038234284523,0.0,0.0,1.548802192157068,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.07365703100003884,0.0,0.0,18.41425775000971,0.0,0.0,1
