slot,sync,sync_reason,sync_cost,total_sync_cost,remaining_budget,move_uav1,move_uav2,p_s,p_j,uav1_x,uav1_y,uav2_x,uav2_y,eve_true_x,eve_true_y,eve_est_x,eve_est_y,eve_error,aoi,sigma,twin_quality,twin_badness,pred_r_sec,true_r_sec,r_b,r_e,outage,success,served_user_idx,movement_cost,power_cost
0,0,security_risk,0.0,0.0,26,left,left,1.0,0.5,170.0,260.0,310.0,260.0,233.71330195582811,245.77201112563165,233.5,246.5,0.7585944407680538,1,4.8,0.9615931625082719,0.03840683749172812,0.9974694666786714,1.001909856001,2.5921862864470895,1.5902764304460895,1,0,0,20.0,1.5
1,0,security_risk,0.0,0.0,26,left,left,1.0,0.5,160.0,260.0,300.0,260.0,229.73861779289263,244.9304064271055,229.0,245.0,0.7418891489742889,2,6.0,0.9393307494148079,0.060669250585192146,1.1418237170558496,1.1555758258762583,2.6317639143679745,1.4761880884917162,1,0,0,20.0,1.5
2,0,security_risk,0.0,0.0,26,left,left,1.0,0.5,150.0,260.0,290.0,260.0,223.87289316083493,242.51888077230188,224.5,243.5,1.1644131254355334,3,7.2,0.9160800704677701,0.08391992953222996,1.2748883248489553,1.263746291813837,2.6640780631681165,1.4003317713542796,1,0,0,20.0,1.5
3,0,security_risk,0.0,0.0,26,left,left,1.0,0.5,140.0,260.0,280.0,260.0,219.46238144305204,240.7975109576614,220.0,242.0,1.3171991534005942,4,8.4,0.8934363019048487,0.10656369809515133,1.3949111051851315,1.3855898423348347,2.688257752650636,1.3026679103158014,1,0,0,20.0,1.5
4,0,security_risk,0.0,0.0,26,left,left,1.0,0.5,130.0,260.0,270.0,260.0,214.95062063279903,238.7003802083599,215.5,240.5,1.8816081110499436,5,9.6,0.8698663817501376,0.13013361824986236,1.500414696029543,1.4909106848121065,2.703533783291671,1.2126230984795643,1,0,0,20.0,1.5
5,0,security_risk,0.0,0.0,26,down,left,1.0,0.5,130.0,250.0,260.0,260.0,211.066199215203,237.74483456316014,211.0,239.0,1.2569099450361947,6,10.799999999999999,0.8489719526236685,0.15102804737633144,1.5915642705731967,1.5906442525367968,2.817026437650627,1.2263821851138303,1,0,0,20.0,1.5
6,0,security_risk,0.0,0.0,26,down,left,1.0,0.5,130.0,240.0,250.0,260.0,206.61242070349584,237.03390340803776,206.5,237.5,0.47946266550516353,7,11.999999999999998,0.8284212090026134,0.1715787909973866,1.6899796210272553,1.6903721046972717,2.9333675868407605,1.2429954821434888,1,0,0,20.0,1.5
7,0,security_risk,0.0,0.0,26,down,left,1.0,0.5,130.0,230.0,240.0,260.0,202.43967724307228,234.9323986840195,202.0,236.0,1.1545945816428211,8,13.199999999999998,0.8046021621913036,0.19539783780869632,1.796100936393726,1.7979803211270315,3.0519037885004496,1.253923467373418,1,0,0,20.0,1.5
8,0,security_risk,0.0,0.0,26,down,left,1.0,0.5,130.0,220.0,230.0,260.0,198.19780279193003,232.7611808634392,197.5,234.5,1.8736116796432003,9,14.399999999999997,0.7806843737208028,0.21931562627919718,1.9099730370508528,1.9095408796401814,3.1717213533726936,1.2621804737325122,1,0,0,20.0,1.5
9,0,security_risk,0.0,0.0,26,down,left,1.0,0.5,130.0,210.0,220.0,260.0,194.31271800284512,231.22623272574882,193.0,233.0,2.2066895790296717,10,15.599999999999996,0.7576349484471833,0.24236505155281673,2.03104660246143,2.034643809095899,3.2915792688245595,1.2569354597286604,1,0,0,20.0,1.5
10,0,security_risk,0.0,0.0,26,down,stay,1.0,0.5,130.0,200.0,220.0,260.0,189.68331434836344,229.24958204466606,188.5,231.5,2.5425604851669115,11,16.799999999999997,0.7345792389083745,0.26542076109162555,2.139282125059733,2.13493759392434,3.4319559165254945,1.297018322601155,1,0,0,10.0,1.5
11,0,security_risk,0.0,0.0,26,down,left,1.0,0.5,130.0,190.0,210.0,260.0,186.03909328543526,227.6414114072179,184.0,230.0,3.1178264186302913,12,17.999999999999996,0.7109848905580818,0.28901510944191816,2.2784006268656363,2.2776989336255067,3.5468047845704467,1.2691058509449398,1,0,0,20.0,1.5
12,0,security_risk,0.0,0.0,26,down,stay,1.0,0.5,130.0,180.0,210.0,260.0,181.23926380992108,225.89491792187613,179.5,228.5,3.1323300008561348,13,19.199999999999996,0.6886522574980738,0.31134774250192626,2.402035510006264,2.3923179919781647,3.677603507812454,1.2852855158342888,0,1,0,10.0,1.5
13,0,security_risk,0.0,0.0,26,down,left,1.0,0.5,130.0,170.0,200.0,260.0,177.11188023980844,224.650728766931,175.0,227.0,3.1589734841905406,14,20.399999999999995,0.6662923096605713,0.3337076903394287,2.546046353420471,2.537399178346987,3.775934098118005,1.238534919771018,0,1,0,20.0,1.5
14,1,security_risk,1.0,1.0,25,down,stay,1.0,0.5,130.0,160.0,200.0,260.0,172.90079306792563,223.4523034690365,172.90079306792563,223.4523034690365,0.0,0,3.6,0.9856,0.014400000000000003,2.6635086038559694,2.6635086038559694,3.8831690540163653,1.2196604501603958,0,1,0,10.0,1.5
