slot,sync,sync_reason,sync_cost,total_sync_cost,remaining_budget,move_uav1,move_uav2,p_s,p_j,uav1_x,uav1_y,uav2_x,uav2_y,eve_true_x,eve_true_y,eve_est_x,eve_est_y,eve_error,aoi,sigma,twin_quality,twin_badness,pred_r_sec,true_r_sec,r_b,r_e,outage,success,served_user_idx,movement_cost,power_cost
0,0,aoi_thr=5,0.0,0.0,26,left,left,1.0,0.4,170.0,260.0,310.0,260.0,233.71330195582811,245.77201112563165,233.5,246.5,0.7585944407680538,1,4.9,0.9611931625082719,0.03880683749172813,0.8462042827471075,0.8508962855364759,2.6334582192588374,1.7825619337223615,1,0,0,20.0,1.4
1,0,aoi_thr=5,0.0,0.0,26,left,left,1.0,0.4,160.0,260.0,300.0,260.0,229.73861779289263,244.9304064271055,229.0,245.0,0.7418891489742889,2,6.2,0.9385307494148079,0.06146925058519215,0.9984736771248308,1.0129681427844486,2.6756258165724307,1.6626576737879821,1,0,0,20.0,1.4
2,0,aoi_thr=5,0.0,0.0,26,left,left,1.0,0.4,150.0,260.0,290.0,260.0,223.87289316083493,242.51888077230188,224.5,243.5,1.1644131254355334,3,7.5,0.9148800704677701,0.08511992953222994,1.1400144096900073,1.128270821963803,2.7106329196944636,1.5823620977306607,1,0,0,20.0,1.4
3,0,aoi_thr=5,0.0,0.0,26,left,left,1.0,0.4,140.0,260.0,280.0,260.0,219.46238144305204,240.7975109576614,220.0,242.0,1.3171991534005942,4,8.8,0.8918363019048486,0.10816369809515133,1.2689697581154586,1.2591065581726169,2.737598441256549,1.478491883083932,1,0,0,20.0,1.4
4,0,aoi_thr=5,0.0,0.0,26,left,left,1.0,0.4,130.0,260.0,270.0,260.0,214.95062063279903,238.7003802083599,215.5,240.5,1.8816081110499436,5,10.100000000000001,0.8678663817501376,0.1321336182498624,1.3837414087888833,1.3736585124220992,2.755739249429572,1.3820807370074726,1,0,0,20.0,1.4
5,1,aoi_thr=5,1.0,1.0,25,left,left,1.0,0.4,120.0,260.0,260.0,260.0,211.066199215203,237.74483456316014,211.066199215203,237.74483456316014,0.0,0,3.6,0.9856,0.014400000000000003,1.483297624322127,1.483297624322127,2.76441675967259,1.281119135350463,1,0,0,20.0,1.4
6,0,aoi_thr=5,0.0,1.0,25,down,left,1.0,0.4,120.0,250.0,250.0,260.0,206.61242070349584,237.03390340803776,206.566199215203,236.24483456316014,0.7904214495675742,1,4.9,0.9611215517384729,0.038878448261527046,1.5726076914381786,1.5747613140760617,2.8832170944016915,1.3084557803256298,1,0,0,20.0,1.4
7,0,aoi_thr=5,0.0,1.0,25,down,left,1.0,0.4,120.0,240.0,240.0,260.0,202.43967724307228,234.9323986840195,202.066199215203,234.74483456316014,0.4179307798366484,2,6.2,0.9392596557453675,0.060740344254632456,1.668495135921559,1.6748222532385424,3.005371934619121,1.3305496813805786,1,0,0,20.0,1.4
8,0,aoi_thr=5,0.0,1.0,25,down,left,1.0,0.4,120.0,230.0,230.0,260.0,198.19780279193003,232.7611808634392,197.566199215203,233.24483456316014,0.7955149146233134,3,7.5,0.9157100914420976,0.08428990855790244,1.771471380878226,1.7785831975442996,3.1302663372590467,1.351683139714747,1,0,0,20.0,1.4
9,0,aoi_thr=5,0.0,1.0,25,down,left,1.0,0.4,120.0,220.0,220.0,260.0,194.31271800284512,231.22623272574882,193.066199215203,231.74483456316014,1.350095164686984,4,8.8,0.8917622858794543,0.1082377141205457,1.8817485730798313,1.8958177769160292,3.257016826761176,1.361199049845147,1,0,0,20.0,1.4
