slot,sync,sync_reason,sync_cost,total_sync_cost,remaining_budget,move_uav1,move_uav2,p_s,p_j,uav1_x,uav1_y,uav2_x,uav2_y,eve_true_x,eve_true_y,eve_est_x,eve_est_y,eve_error,aoi,sigma,twin_quality,twin_badness,pred_r_sec,true_r_sec,r_b,r_e,outage,success,served_user_idx,movement_cost,power_cost
0,1,decoupled_periodic_k=9,1.0,1.0,25,left,left,1.0,0.4,170.0,260.0,310.0,260.0,233.71330195582811,245.77201112563165,233.71330195582811,245.77201112563165,0.0,0,3.6,0.9856,0.014400000000000003,0.8508962855364759,0.8508962855364759,2.6334582192588374,1.7825619337223615,1,0,0,20.0,1.4
1,0,decoupled_periodic_k=9,0.0,1.0,25,left,left,1.0,0.4,160.0,260.0,300.0,260.0,229.73861779289263,244.9304064271055,229.21330195582811,244.27201112563165,0.8422832668845098,1,4.9,0.9610048626495098,0.03899513735049015,1.0029154681299826,1.0129681427844486,2.6756258165724307,1.6626576737879821,1,0,0,20.0,1.4
2,0,decoupled_periodic_k=9,0.0,1.0,25,left,left,1.0,0.4,150.0,260.0,290.0,260.0,223.87289316083493,242.51888077230188,224.71330195582811,242.77201112563165,0.8777026367049048,2,6.2,0.9382251690674139,0.06177483093258603,1.14414515258986,1.128270821963803,2.7106329196944636,1.5823620977306607,1,0,0,20.0,1.4
3,0,decoupled_periodic_k=9,0.0,1.0,25,left,left,1.0,0.4,140.0,260.0,280.0,260.0,219.46238144305204,240.7975109576614,220.21330195582811,241.27201112563165,0.888274746861405,3,7.5,0.9155013818195619,0.08449861818043816,1.2727404354168983,1.2591065581726169,2.737598441256549,1.478491883083932,1,0,0,20.0,1.4
4,0,decoupled_periodic_k=9,0.0,1.0,25,left,left,1.0,0.4,130.0,260.0,270.0,260.0,214.95062063279903,238.7003802083599,215.71330195582811,239.77201112563165,1.3153233911666409,4,8.8,0.8918405223698751,0.10815947763012493,1.3871154063781839,1.3736585124220992,2.755739249429572,1.3820807370074726,1,0,0,20.0,1.4
5,0,decoupled_periodic_k=9,0.0,1.0,25,left,left,1.0,0.4,120.0,260.0,260.0,260.0,211.066199215203,237.74483456316014,211.21330195582811,238.27201112563165,0.5473155801899833,5,10.100000000000001,0.8708685399445726,0.12913146005542747,1.4859992409790912,1.483297624322127,2.76441675967259,1.281119135350463,1,0,0,20.0,1.4
6,0,decoupled_periodic_k=9,0.0,1.0,25,down,left,1.0,0.4,120.0,250.0,250.0,260.0,206.61242070349584,237.03390340803776,206.71330195582811,236.77201112563165,0.2806503067092721,6,11.400000000000002,0.8487685368099042,0.15123146319009587,1.5758859599078314,1.5747613140760617,2.8832170944016915,1.3084557803256298,1,0,0,20.0,1.4
7,0,decoupled_periodic_k=9,0.0,1.0,25,down,left,1.0,0.4,120.0,240.0,240.0,260.0,202.43967724307228,234.9323986840195,202.21330195582811,235.27201112563165,0.4081450491830723,7,12.700000000000003,0.8257816736393381,0.17421832636066192,1.6723951403272213,1.6748222532385424,3.005371934619121,1.3305496813805786,1,0,0,20.0,1.4
8,0,decoupled_periodic_k=9,0.0,1.0,25,down,left,1.0,0.4,120.0,230.0,230.0,260.0,198.19780279193003,232.7611808634392,197.71330195582811,233.77201112563165,1.1209455290724548,8,14.000000000000004,0.801477872559587,0.19852212744041303,1.7760230126545098,1.7785831975442996,3.1302663372590467,1.351683139714747,1,0,0,20.0,1.4
9,1,decoupled_periodic_k=9,1.0,2.0,24,down,left,1.0,0.4,120.0,220.0,220.0,260.0,194.31271800284512,231.22623272574882,194.31271800284512,231.22623272574882,0.0,0,3.6,0.9856,0.014400000000000003,1.8958177769160292,1.8958177769160292,3.257016826761176,1.361199049845147,1,0,0,20.0,1.4
