slot,sync,sync_reason,sync_cost,total_sync_cost,remaining_budget,move_uav1,move_uav2,p_s,p_j,uav1_x,uav1_y,uav2_x,uav2_y,eve_true_x,eve_true_y,eve_est_x,eve_est_y,eve_error,aoi,sigma,twin_quality,twin_badness,pred_r_sec,true_r_sec,r_b,r_e,outage,success,served_user_idx,movement_cost,power_cost
0,1,periodic_k=9,1.0,1.0,25,left,left,1.0,0.4,170.0,260.0,310.0,260.0,234.512173913026,246.5716135977482,234.512173913026,246.5716135977482,0.0,0,3.6,0.9856,0.014400000000000003,0.8665094922602938,0.8665094922602938,2.6334582192588374,1.7669487269985436,1,0,0,20.0,1.4
1,0,periodic_k=9,0.0,1.0,25,left,left,1.0,0.4,160.0,260.0,300.0,260.0,230.24090085746087,245.86713727399794,230.012173913026,245.0716135977482,0.8277523389181062,1,4.9,0.9610375572374342,0.03896244276256574,1.0182696693752182,1.0225034526764063,2.6756258165724307,1.6531223638960244,1,0,0,20.0,1.4
2,0,periodic_k=9,0.0,1.0,25,left,left,1.0,0.4,150.0,260.0,290.0,260.0,226.31787161249844,244.77240683130933,225.512173913026,243.5716135977482,1.4460474309998712,2,6.2,0.9369463932802503,0.06305360671974972,1.159120549068102,1.1741807569666705,2.7106329196944636,1.5364521627277932,1,0,0,20.0,1.4
3,0,periodic_k=9,0.0,1.0,25,left,left,1.0,0.4,140.0,260.0,280.0,260.0,221.55245220389392,242.55919534572143,221.012173913026,242.0716135977482,0.7277613568607374,3,7.5,0.9158625369470633,0.08413746305293665,1.287230872124216,1.2969943218956037,2.737598441256549,1.4406041193609451,1,0,0,20.0,1.4
4,0,periodic_k=9,0.0,1.0,25,left,left,1.0,0.4,130.0,260.0,270.0,260.0,217.3157704312292,240.70082368903724,216.512173913026,240.5716135977482,0.8139180620671916,4,8.8,0.8929686843603488,0.10703131563965118,1.4010300714008723,1.4146626955100063,2.755739249429572,1.3410765539195655,1,0,0,20.0,1.4
5,0,periodic_k=9,0.0,1.0,25,left,left,1.0,0.4,120.0,260.0,260.0,260.0,213.39483483707855,239.3487018026728,212.012173913026,239.0716135977482,1.4101521564037558,5,10.100000000000001,0.8689271576480915,0.13107284235190847,1.4992638484448295,1.521234923342831,2.76441675967259,1.2431818363297589,1,0,0,20.0,1.4
6,0,periodic_k=9,0.0,1.0,25,down,left,1.0,0.4,120.0,250.0,250.0,260.0,208.37312879091436,238.03610948666162,207.512173913026,237.5716135977482,0.9782636314292871,6,11.400000000000002,0.8471989068292841,0.1528010931707159,1.5899027276230042,1.6041678691222907,2.8832170944016915,1.2790492252794008,1,0,0,20.0,1.4
7,0,periodic_k=9,0.0,1.0,25,down,left,1.0,0.4,120.0,240.0,240.0,260.0,204.36955512327748,236.66037356805856,203.012173913026,236.0716135977482,1.4795681980171114,7,12.700000000000003,0.8233709715544615,0.1766290284455385,1.6871068468939394,1.7094393103630778,3.005371934619121,1.2959326242560432,1,0,0,20.0,1.4
8,0,periodic_k=9,0.0,1.0,25,down,left,1.0,0.4,120.0,230.0,230.0,260.0,199.32175675471453,235.34400386782974,198.512173913026,234.5716135977482,1.1189330216206352,8,14.000000000000004,0.8014824007013536,0.19851759929864643,1.7913369996071231,1.8065343378236212,3.1302663372590467,1.3237319994354255,1,0,0,20.0,1.4
9,1,periodic_k=9,1.0,2.0,24,down,left,1.0,0.4,120.0,220.0,220.0,260.0,195.07165794801944,234.42100503101324,195.07165794801944,234.42100503101324,0.0,0,3.6,0.9856,0.014400000000000003,1.9251186044303037,1.9251186044303037,3.257016826761176,1.3318982223308724,1,0,0,20.0,1.4
