slot,sync,sync_reason,sync_cost,total_sync_cost,remaining_budget,move_uav1,move_uav2,p_s,p_j,uav1_x,uav1_y,uav2_x,uav2_y,eve_true_x,eve_true_y,eve_est_x,eve_est_y,eve_error,aoi,sigma,twin_quality,twin_badness,pred_r_sec,true_r_sec,r_b,r_e,outage,success,served_user_idx,movement_cost,power_cost
0,1,periodic_k=20,1.0,1.0,19,left,left,1.0,0.4,170.0,260.0,310.0,260.0,234.21330195582811,247.27201112563165,234.21330195582811,247.27201112563165,0.0,0,3.6,0.9856,0.014400000000000003,0.8601600136409293,0.8601600136409293,2.6334582192588374,1.773298205617908,1,0,0,20.0,1.4
1,0,periodic_k=20,0.0,1.0,19,left,left,1.0,0.4,160.0,260.0,300.0,260.0,230.73861779289263,247.9304064271055,230.21330195582811,247.27201112563165,0.8422832668845098,1,4.9,0.9610048626495098,0.03899513735049015,1.0215854024027502,1.0317156820415196,2.6756258165724307,1.643910134530911,1,0,0,20.0,1.4
2,0,periodic_k=20,0.0,1.0,19,left,left,1.0,0.4,150.0,260.0,290.0,260.0,225.37289316083493,247.01888077230188,226.21330195582811,247.27201112563165,0.8777026367049048,2,6.2,0.9382251690674139,0.06177483093258603,1.1721032159765945,1.1562143225848498,2.7106329196944636,1.5544185971096138,1,0,0,20.0,1.4
3,0,periodic_k=20,0.0,1.0,19,left,left,1.0,0.4,140.0,260.0,280.0,260.0,221.46238144305204,246.7975109576614,222.21330195582811,247.27201112563165,0.888274746861405,3,7.5,0.9155013818195619,0.08449861818043816,1.3096266050116274,1.296034314238596,2.737598441256549,1.441564127017953,1,0,0,20.0,1.4
4,0,periodic_k=20,0.0,1.0,19,left,left,1.0,0.4,130.0,260.0,270.0,260.0,217.45062063279903,246.2003802083599,218.21330195582811,247.27201112563165,1.3153233911666409,4,8.8,0.8918405223698751,0.10815947763012493,1.4323554557650375,1.4190785316308665,2.755739249429572,1.3366607177987053,1,0,0,20.0,1.4
5,0,periodic_k=20,0.0,1.0,19,down,left,1.0,0.4,130.0,250.0,260.0,260.0,214.066199215203,246.74483456316014,214.21330195582811,247.27201112563165,0.5473155801899833,5,10.100000000000001,0.8708685399445726,0.12913146005542747,1.5426119110777836,1.5393800723183135,2.872859715615277,1.3334796432969633,1,0,0,20.0,1.4
6,0,periodic_k=20,0.0,1.0,19,down,left,1.0,0.4,130.0,240.0,250.0,260.0,210.11242070349584,247.53390340803776,210.21330195582811,247.27201112563165,0.2806503067092721,6,11.400000000000002,0.8487685368099042,0.15123146319009587,1.6643664186136629,1.6635119723297893,2.9929697198828715,1.3294577475530822,1,0,0,20.0,1.4
7,0,periodic_k=20,0.0,1.0,19,down,left,1.0,0.4,130.0,230.0,240.0,260.0,206.43967724307228,246.9323986840195,206.21330195582811,247.27201112563165,0.4081450491830723,7,12.700000000000003,0.8257816736393381,0.17421832636066192,1.7977045860755658,1.799629322023315,3.115393523095035,1.3157642010717199,1,0,0,20.0,1.4
8,0,periodic_k=20,0.0,1.0,19,down,left,1.0,0.4,130.0,220.0,230.0,260.0,202.69780279193003,246.2611808634392,202.21330195582811,247.27201112563165,1.1209455290724548,8,14.000000000000004,0.801477872559587,0.19852212744041303,1.9418912116423237,1.9428779314885785,3.23918815155151,1.2963102200629315,1,0,0,20.0,1.4
9,0,periodic_k=20,0.0,1.0,19,down,left,1.0,0.4,130.0,210.0,220.0,260.0,199.31271800284512,246.22623272574882,198.21330195582811,247.27201112563165,1.5173556294092667,9,15.300000000000004,0.7778859498338291,0.2221140501661709,2.0952009517482306,2.1012425012614466,3.363075674446636,1.2618331731851897,1,0,0,20.0,1.4
10,0,periodic_k=20,0.0,1.0,19,down,stay,1.0,0.4,130.0,200.0,220.0,260.0,195.18331434836344,245.74958204466606,194.21330195582811,247.27201112563165,1.8051909450919166,10,16.600000000000005,0.7545383203735432,0.24546167962645682,2.2396916897719508,2.239384411147687,3.504187749842696,1.2648033386950088,1,0,0,10.0,1.4
11,0,periodic_k=20,0.0,1.0,19,down,left,1.0,0.4,130.0,190.0,210.0,260.0,192.03909328543526,245.6414114072179,190.21330195582811,247.27201112563165,2.4479316618238367,11,17.900000000000006,0.7303921537608964,0.26960784623910367,2.4120730828435453,2.416246300939136,3.6230304614230247,1.206784160483889,1,0,0,20.0,1.4
12,0,periodic_k=20,0.0,1.0,19,down,stay,1.0,0.4,130.0,180.0,210.0,260.0,187.73926380992108,245.39491792187613,186.21330195582811,247.27201112563165,2.419098690779692,12,19.200000000000006,0.7077570279457457,0.2922429720542543,2.5718058211652326,2.569334266434147,3.754431233882316,1.1850969674481686,1,0,0,10.0,1.4
13,0,periodic_k=20,0.0,1.0,19,down,stay,1.0,0.4,130.0,170.0,210.0,260.0,184.11188023980844,245.650728766931,182.21330195582811,247.27201112563165,2.4966289245772275,13,20.500000000000007,0.6848825849197012,0.3151174150802988,2.7287436943900616,2.730858754927797,3.87602232838703,1.145163573459233,1,0,0,10.0,1.4
14,0,periodic_k=20,0.0,1.0,19,down,stay,1.0,0.4,130.0,160.0,210.0,260.0,180.40079306792563,245.9523034690365,178.21330195582811,247.27201112563165,2.5547496285118583,14,21.800000000000008,0.6620518133358483,0.3379481866641517,2.877003605606817,2.883522763661203,3.9838026602833914,1.1002798966221887,1,0,0,10.0,1.4
15,0,periodic_k=20,0.0,1.0,19,down,left,1.0,0.4,130.0,150.0,200.0,260.0,177.89994638853494,245.66781295756726,174.21330195582811,247.27201112563165,4.020547094069336,15,23.10000000000001,0.636053769038344,0.363946230961656,3.0334019069325873,3.043936942249651,4.0539882181704066,1.0100512759207554,1,0,0,20.0,1.4
16,0,periodic_k=20,0.0,1.0,19,down,stay,1.0,0.4,130.0,140.0,200.0,260.0,173.54137647818487,245.09817204779375,170.21330195582811,247.27201112563165,3.975129729039705,16,24.40000000000001,0.6134559581096607,0.3865440418903393,3.1493414945334015,3.1513536202867494,4.121596937154989,0.9702433168682403,0,1,0,10.0,1.4
17,0,periodic_k=20,0.0,1.0,19,down,stay,1.0,0.4,130.0,130.0,200.0,260.0,169.97256207398772,245.8884526526984,166.21330195582811,247.27201112563165,4.005779659942713,17,25.70000000000001,0.5906869957651288,0.40931300423487116,3.239489535099148,3.251062094084223,4.163711527463726,0.9126494333795032,0,1,0,10.0,1.4
18,0,periodic_k=20,0.0,1.0,19,left,left,1.0,0.4,120.0,130.0,190.0,260.0,165.8927988536293,245.30034311882463,162.21330195582811,247.27201112563165,4.174466690488131,18,27.00000000000001,0.5676074499464017,0.43239255005359833,3.3303729771058546,3.334993714781786,4.217111977856661,0.8821182630748745,0,1,0,20.0,1.4
19,0,periodic_k=20,0.0,1.0,19,down,stay,1.0,0.4,120.0,120.0,190.0,260.0,161.31566200264544,245.7557580703019,158.21330195582811,247.27201112563165,3.453065476918323,19,28.30000000000001,0.5465306026769337,0.4534693973230663,3.390622972423226,3.3956868676029446,4.2321394227771805,0.8364525551742358,0,1,0,10.0,1.4
